epsilon,distance,algorithm,dataset
0.1,0.6175094603648184,2d-laplace-optimal-truncated,circle-dataset
0.5,0.6423577682086762,2d-laplace-optimal-truncated,circle-dataset
0.7,0.6887060591122556,2d-laplace-optimal-truncated,circle-dataset
1.0,0.6866408886655403,2d-laplace-optimal-truncated,circle-dataset
1.5,0.667090888714214,2d-laplace-optimal-truncated,circle-dataset
2.0,0.6506405597527068,2d-laplace-optimal-truncated,circle-dataset
2.5,0.5671940075542243,2d-laplace-optimal-truncated,circle-dataset
3.0,0.5179766387033174,2d-laplace-optimal-truncated,circle-dataset
3.5,0.45426937343003376,2d-laplace-optimal-truncated,circle-dataset
5.0,0.3539438474597557,2d-laplace-optimal-truncated,circle-dataset
7.0,0.2759332058818583,2d-laplace-optimal-truncated,circle-dataset
9.0,0.21612027799688113,2d-laplace-optimal-truncated,circle-dataset
