epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.024,1.0,[0.    0.024 1.   ],[0. 0. 1.],0
0.1,-0.008,0.0,[0. 0. 1.],[0.    0.008 1.   ],1
0.1,-0.152,0.14814814814814814,[0.    0.032 1.   ],[0.    0.184 1.   ],2
0.1,0.008,0.6666666666666666,[0.    0.016 1.   ],[0.    0.008 1.   ],3
0.1,0.0,0.5,[0. 1.],[0. 1.],4
0.1,0.016,1.0,[0.    0.016 1.   ],[0. 0. 1.],5
0.1,-0.096,0.2,[0.    0.032 1.   ],[0.    0.128 1.   ],6
0.1,0.04,1.0,[0.   0.04 1.  ],[0. 0. 1.],7
0.1,-0.11199999999999999,0.20833333333333334,[0.   0.04 1.  ],[0.    0.152 1.   ],8
0.1,0.016,0.75,[0.    0.024 1.   ],[0.    0.008 1.   ],9
0.1,0.008,0.6,[0.    0.024 1.   ],[0.    0.016 1.   ],10
0.1,0.024,0.8,[0.    0.032 1.   ],[0.    0.008 1.   ],11
0.1,0.16,0.9545454545454545,[0.    0.168 1.   ],[0.    0.008 1.   ],12
0.1,0.008,0.6,[0.    0.024 1.   ],[0.    0.016 1.   ],13
0.1,-0.08,0.14285714285714285,[0.    0.016 1.   ],[0.    0.096 1.   ],14
0.1,0.176,0.9583333333333333,[0.    0.184 1.   ],[0.    0.008 1.   ],15
0.1,-0.008,0.0,[0. 0. 1.],[0.    0.008 1.   ],16
0.1,-0.12,0.14285714285714288,[0.    0.024 1.   ],[0.    0.144 1.   ],17
0.1,-0.07200000000000001,0.09090909090909091,[0.    0.008 1.   ],[0.   0.08 1.  ],18
0.1,-0.10400000000000001,0.06666666666666667,[0.    0.008 1.   ],[0.    0.112 1.   ],19
0.1,0.016,1.0,[0.    0.016 1.   ],[0. 0. 1.],20
0.1,0.032,0.8333333333333334,[0.   0.04 1.  ],[0.    0.008 1.   ],21
0.1,0.008,1.0,[0.    0.008 1.   ],[0. 0. 1.],22
0.1,0.064,1.0,[0.    0.064 1.   ],[0. 0. 1.],23
0.1,0.0,0.5,[0. 1.],[0. 1.],24
0.1,0.008,1.0,[0.    0.008 1.   ],[0. 0. 1.],25
0.1,-0.352,0.1206896551724138,[0.    0.056 1.   ],[0.    0.408 1.   ],26
0.1,0.0,0.5,[0.    0.016 1.   ],[0.    0.016 1.   ],27
0.1,0.024,0.8,[0.    0.032 1.   ],[0.    0.008 1.   ],28
0.1,-0.216,0.09090909090909091,[0.    0.024 1.   ],[0.   0.24 1.  ],29
0.1,-0.11199999999999999,0.0625,[0.    0.008 1.   ],[0.   0.12 1.  ],30
0.1,0.0,0.5,[0.    0.048 1.   ],[0.    0.048 1.   ],31
0.1,-0.248,0.05714285714285714,[0.    0.016 1.   ],[0.    0.264 1.   ],32
0.1,-0.016,0.3333333333333333,[0.    0.016 1.   ],[0.    0.032 1.   ],33
0.1,-0.088,0.07692307692307691,[0.    0.008 1.   ],[0.    0.096 1.   ],34
0.1,-0.008,0.3333333333333333,[0.    0.008 1.   ],[0.    0.016 1.   ],35
0.1,-0.016,0.375,[0.    0.024 1.   ],[0.   0.04 1.  ],36
0.1,-0.032,0.0,[0. 0. 1.],[0.    0.032 1.   ],37
0.1,-0.096,0.16666666666666669,[0.    0.024 1.   ],[0.   0.12 1.  ],38
0.1,-0.072,0.0,[0. 0. 1.],[0.    0.072 1.   ],39
0.1,0.0,0.5,[0. 1.],[0. 1.],40
0.1,0.016,0.6666666666666666,[0.    0.032 1.   ],[0.    0.016 1.   ],41
0.1,-0.008,0.3333333333333333,[0.    0.008 1.   ],[0.    0.016 1.   ],42
0.1,0.0,0.5,[0.    0.016 1.   ],[0.    0.016 1.   ],43
0.1,-0.128,0.16666666666666666,[0.    0.032 1.   ],[0.   0.16 1.  ],44
0.1,-0.20800000000000002,0.06666666666666667,[0.    0.016 1.   ],[0.    0.224 1.   ],45
0.1,0.008,1.0,[0.    0.008 1.   ],[0. 0. 1.],46
0.1,0.008,1.0,[0.    0.008 1.   ],[0. 0. 1.],47
0.1,0.008,1.0,[0.    0.008 1.   ],[0. 0. 1.],48
0.1,0.008,0.5714285714285714,[0.    0.032 1.   ],[0.    0.024 1.   ],49
0.5,0.008,0.5454545454545455,[0.    0.048 1.   ],[0.   0.04 1.  ],0
0.5,0.08800000000000001,0.7391304347826088,[0.    0.136 1.   ],[0.    0.048 1.   ],1
0.5,0.088,0.8666666666666667,[0.    0.104 1.   ],[0.    0.016 1.   ],2
0.5,-0.032,0.4230769230769231,[0.    0.088 1.   ],[0.   0.12 1.  ],3
0.5,-0.023999999999999994,0.4347826086956522,[0.   0.08 1.  ],[0.    0.104 1.   ],4
0.5,0.048,0.7142857142857143,[0.   0.08 1.  ],[0.    0.032 1.   ],5
0.5,0.0,0.5,[0.    0.072 1.   ],[0.    0.072 1.   ],6
0.5,0.0,0.5,[0.    0.056 1.   ],[0.    0.056 1.   ],7
0.5,0.07200000000000001,0.9090909090909092,[0.   0.08 1.  ],[0.    0.008 1.   ],8
0.5,0.024,0.6153846153846153,[0.    0.064 1.   ],[0.   0.04 1.  ],9
0.5,0.039999999999999994,0.6,[0.   0.12 1.  ],[0.   0.08 1.  ],10
0.5,0.024,0.7142857142857143,[0.   0.04 1.  ],[0.    0.016 1.   ],11
0.5,0.048,0.6153846153846153,[0.    0.128 1.   ],[0.   0.08 1.  ],12
0.5,-0.055999999999999994,0.3793103448275862,[0.    0.088 1.   ],[0.    0.144 1.   ],13
0.5,0.023999999999999994,0.5789473684210527,[0.    0.088 1.   ],[0.    0.064 1.   ],14
0.5,-0.008,0.4615384615384615,[0.    0.048 1.   ],[0.    0.056 1.   ],15
0.5,0.128,0.7857142857142857,[0.    0.176 1.   ],[0.    0.048 1.   ],16
0.5,0.016,0.5714285714285714,[0.    0.064 1.   ],[0.    0.048 1.   ],17
0.5,-0.023999999999999994,0.4,[0.    0.048 1.   ],[0.    0.072 1.   ],18
0.5,0.0,0.5,[0.    0.096 1.   ],[0.    0.096 1.   ],19
0.5,0.039999999999999994,0.6923076923076923,[0.    0.072 1.   ],[0.    0.032 1.   ],20
0.5,0.0,0.5,[0.    0.096 1.   ],[0.    0.096 1.   ],21
0.5,0.088,0.8666666666666667,[0.    0.104 1.   ],[0.    0.016 1.   ],22
0.5,0.136,0.7741935483870968,[0.    0.192 1.   ],[0.    0.056 1.   ],23
0.5,0.023999999999999994,0.5789473684210527,[0.    0.088 1.   ],[0.    0.064 1.   ],24
0.5,0.024000000000000007,0.5599999999999999,[0.    0.112 1.   ],[0.    0.088 1.   ],25
0.5,-0.008,0.4545454545454546,[0.   0.04 1.  ],[0.    0.048 1.   ],26
0.5,0.056,1.0,[0.    0.056 1.   ],[0. 0. 1.],27
0.5,-0.016,0.4,[0.    0.032 1.   ],[0.    0.048 1.   ],28
0.5,0.032,0.6666666666666666,[0.    0.064 1.   ],[0.    0.032 1.   ],29
0.5,0.048,0.7142857142857143,[0.   0.08 1.  ],[0.    0.032 1.   ],30
0.5,0.023999999999999994,0.5789473684210527,[0.    0.088 1.   ],[0.    0.064 1.   ],31
