type,epsilon,ari,ami,ch,sc
"KMeans(clusters=5, init=random)",0.1,0.002890169353857964,0.0034202813015353057,680.2289831756086,0.7094231674016805
"KMeans(clusters=5, init=random)",0.5,0.003310819331358039,0.01769560287294991,402.33105783443295,0.4363477801229007
"KMeans(clusters=5, init=random)",0.7,0.0234327864833596,0.01855580820456943,426.277941191986,0.402674000078478
"KMeans(clusters=5, init=random)",1.0,0.04285724715895203,0.038670994957080373,497.03461440525325,0.3963804296860932
"KMeans(clusters=5, init=random)",1.5,0.03401681199362109,0.07673322287285325,613.7009330372967,0.34398292055249396
"KMeans(clusters=5, init=random)",2.0,0.052968707997325545,0.13180501555809787,731.5439312057567,0.3293488801093371
"KMeans(clusters=5, init=random)",2.5,0.06355924903467654,0.15993223848170462,775.8368565794952,0.3372762058369774
"KMeans(clusters=5, init=random)",3.0,0.08901672451507545,0.21678295018997681,747.5317700401353,0.33526865504440895
"KMeans(clusters=5, init=random)",3.5,0.13943997781304446,0.24854316276731264,728.0765889982603,0.3585110375616571
"KMeans(clusters=5, init=random)",5.0,0.2911284658623904,0.3549493391286335,692.0527062406895,0.36410723352066887
"KMeans(clusters=5, init=random)",7.0,0.5294087264749269,0.5249553631033158,690.1089185489617,0.39208451093847757
"KMeans(clusters=5, init=random)",9.0,0.608680868403982,0.5499217361316354,686.5350120617179,0.42173008891033803
