epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.32198893460065253,0.6649323469995786,[0.        0.6490566 1.       ],[0.         0.32706767 1.        ],0
0.1,0.3295361044119733,0.6675031367628608,[0.         0.65660377 1.        ],[0.         0.32706767 1.        ],1
0.1,0.3068662221591715,0.6621976275100853,[0.         0.62641509 1.        ],[0.         0.31954887 1.        ],2
0.1,0.24321180309263724,0.6061626870107995,[0.         0.69433962 1.        ],[0.         0.45112782 1.        ],3
0.1,0.2846077457795432,0.6263000176273575,[0.         0.70566038 1.        ],[0.         0.42105263 1.        ],4
0.1,0.26564051638530284,0.6258823529411764,[0.         0.66037736 1.        ],[0.         0.39473684 1.        ],5
0.1,0.276833593417506,0.6386055629741171,[0.         0.63773585 1.        ],[0.         0.36090226 1.        ],6
0.1,0.23887076181018585,0.6421216111279922,[0.         0.53962264 1.        ],[0.         0.30075188 1.        ],7
0.1,0.16372535111363312,0.587258623036095,[0.        0.5509434 1.       ],[0.         0.38721805 1.        ],8
0.1,0.24306993899843948,0.6135694779542381,[0.         0.65660377 1.        ],[0.         0.41353383 1.        ],9
0.1,0.2808767201021421,0.6225959454606248,[0.         0.71320755 1.        ],[0.         0.43233083 1.        ],10
0.1,0.25071641367569864,0.6108956741086554,[0.         0.69056604 1.        ],[0.         0.43984962 1.        ],11
0.1,0.22803234501347708,0.6050670640834576,[0.         0.65660377 1.        ],[0.         0.42857143 1.        ],12
0.1,0.20907930202865654,0.6023785045430549,[0.         0.61509434 1.        ],[0.         0.40601504 1.        ],13
0.1,0.23932472691161866,0.6106519742883378,[0.         0.66037736 1.        ],[0.         0.42105263 1.        ],14
0.1,0.325819265143992,0.6612919083669255,[0.         0.66792453 1.        ],[0.         0.34210526 1.        ],15
0.1,0.265441906653426,0.6397573983059709,[0.         0.60754717 1.        ],[0.         0.34210526 1.        ],16
0.1,0.3299333238757271,0.6380942201954707,[0.         0.76226415 1.        ],[0.         0.43233083 1.        ],17
0.1,0.30706483189104833,0.6460230722525804,[0.         0.67924528 1.        ],[0.         0.37218045 1.        ],18
0.1,0.3748900553269967,0.6757375043226133,[0.         0.72075472 1.        ],[0.         0.34586466 1.        ],19
0.1,0.37111647042133633,0.6745862253069941,[0.         0.71698113 1.        ],[0.         0.34586466 1.        ],20
0.1,0.2879557384026103,0.6591800244675179,[0.         0.59622642 1.        ],[0.         0.30827068 1.        ],21
0.1,0.21312242871329262,0.5912331628872991,[0.         0.69056604 1.        ],[0.         0.47744361 1.        ],22
0.1,0.3371258334515534,0.6662655322959812,[0.        0.6754717 1.       ],[0.         0.33834586 1.        ],23
0.1,0.2996453397645056,0.6347719557949005,[0.         0.70566038 1.        ],[0.         0.40601504 1.        ],24
0.1,0.2846928642360618,0.621465233391439,[0.         0.72830189 1.        ],[0.         0.44360902 1.        ],25
0.1,0.2844658816853454,0.6352817357512953,[0.         0.66792453 1.        ],[0.         0.38345865 1.        ],26
