epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.0,0.5,[0.    0.248 1.   ],[0.    0.248 1.   ],0
0.1,-0.09599999999999997,0.42500000000000004,[0.    0.272 1.   ],[0.    0.368 1.   ],1
0.1,0.096,0.5909090909090908,[0.    0.312 1.   ],[0.    0.216 1.   ],2
0.1,-0.08799999999999997,0.4395604395604396,[0.   0.32 1.  ],[0.    0.408 1.   ],3
0.1,0.20799999999999996,0.7826086956521738,[0.    0.288 1.   ],[0.   0.08 1.  ],4
0.1,0.192,0.7727272727272727,[0.    0.272 1.   ],[0.   0.08 1.  ],5
0.1,-0.10399999999999998,0.4155844155844156,[0.    0.256 1.   ],[0.   0.36 1.  ],6
0.1,-0.07200000000000001,0.464,[0.    0.464 1.   ],[0.    0.536 1.   ],7
0.1,-0.29600000000000004,0.25974025974025977,[0.   0.16 1.  ],[0.    0.456 1.   ],8
0.1,-0.08000000000000002,0.4107142857142857,[0.    0.184 1.   ],[0.    0.264 1.   ],9
0.1,-0.256,0.27142857142857146,[0.    0.152 1.   ],[0.    0.408 1.   ],10
0.1,0.13600000000000004,0.660377358490566,[0.   0.28 1.  ],[0.    0.144 1.   ],11
0.1,-0.17600000000000002,0.358974358974359,[0.    0.224 1.   ],[0.  0.4 1. ],12
0.1,-0.264,0.2608695652173913,[0.    0.144 1.   ],[0.    0.408 1.   ],13
0.1,-0.33599999999999997,0.22368421052631582,[0.    0.136 1.   ],[0.    0.472 1.   ],14
0.1,-0.016000000000000014,0.48717948717948717,[0.    0.304 1.   ],[0.   0.32 1.  ],15
0.1,-0.008000000000000007,0.4925373134328358,[0.    0.264 1.   ],[0.    0.272 1.   ],16
0.1,0.248,0.9428571428571428,[0.    0.264 1.   ],[0.    0.016 1.   ],17
0.1,-0.03200000000000003,0.46969696969696967,[0.    0.248 1.   ],[0.   0.28 1.  ],18
0.1,-0.064,0.45,[0.    0.288 1.   ],[0.    0.352 1.   ],19
0.1,-0.304,0.22857142857142856,[0.    0.128 1.   ],[0.    0.432 1.   ],20
0.1,0.0,0.5,[0.    0.136 1.   ],[0.    0.136 1.   ],21
0.1,-0.232,0.32941176470588235,[0.    0.224 1.   ],[0.    0.456 1.   ],22
0.1,0.03200000000000003,0.5303030303030303,[0.   0.28 1.  ],[0.    0.248 1.   ],23
