epsilon,distance,algorithm,dataset
0.1,2.5120751841379874,2d-laplace-optimal-truncated,seeds-dataset
0.5,1.5908137207183755,2d-laplace-optimal-truncated,seeds-dataset
0.7,1.5799341933907354,2d-laplace-optimal-truncated,seeds-dataset
1.0,1.3494927915835002,2d-laplace-optimal-truncated,seeds-dataset
1.5,0.999268692896981,2d-laplace-optimal-truncated,seeds-dataset
2.0,0.8057094330864872,2d-laplace-optimal-truncated,seeds-dataset
2.5,0.7018694162074771,2d-laplace-optimal-truncated,seeds-dataset
3.0,0.5964541302122913,2d-laplace-optimal-truncated,seeds-dataset
3.5,0.5074503552691789,2d-laplace-optimal-truncated,seeds-dataset
5.0,0.38753141278226505,2d-laplace-optimal-truncated,seeds-dataset
7.0,0.28103023282868034,2d-laplace-optimal-truncated,seeds-dataset
9.0,0.21092547012966045,2d-laplace-optimal-truncated,seeds-dataset
