type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.01417030825531925,0.031983944190679514,191.56380501714548,0.6679392023390454
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,-0.0005317970010110278,0.01394907470214726,739.7003661448864,0.6848587314548809
"OPTICS(min_samples=4, distance_metric=euclidean)",0.1,-0.003096500780403349,-0.0029700878892750283,8.394563549825131,0.30510941481348747
"KMeans(clusters=4, init=random)",0.5,0.28258613185329257,0.24644758795638094,480.94302041302507,0.5864685643691956
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.14504431934921796,0.2005002117148372,445.81696603006515,0.5030716059030171
"OPTICS(min_samples=4, distance_metric=euclidean)",0.5,-0.015369231574256462,0.04133322493360796,8.472379344403437,-0.0097060986731473
"KMeans(clusters=4, init=random)",0.7,0.3053081092140732,0.272249155557831,319.7178106345333,0.5026767859797409
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.7,0.1549730598227424,0.2430710353428105,312.1757009778254,0.41150887260657065
"OPTICS(min_samples=4, distance_metric=euclidean)",0.7,0.007024744659587616,0.030241588042113236,9.520978330705214,0.014618882381837405
"KMeans(clusters=4, init=random)",1.0,0.38722012181541365,0.35917738669868016,351.7611899175812,0.5072435841892304
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.18758955902283284,0.2960903293286809,323.08378649095005,0.35029282401685913
"OPTICS(min_samples=4, distance_metric=euclidean)",1.0,0.00876905142518962,0.062351572480957254,9.747105733028047,-0.05099945181217429
"KMeans(clusters=4, init=random)",1.5,0.5205245505828051,0.5447925359344291,400.4171577139267,0.42607755947713183
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.5,0.26676001012878353,0.4060523858428814,384.24727044166656,0.4255478038402168
"OPTICS(min_samples=4, distance_metric=euclidean)",1.5,-0.010408672011563713,0.06747176957234599,11.653612696888192,0.005398525495485704
"KMeans(clusters=4, init=random)",2.0,0.5557334343123823,0.5562415535841383,409.616282924211,0.4695693786881782
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.31416498370784873,0.4581793881943302,390.6071294360578,0.41456033178481455
"OPTICS(min_samples=4, distance_metric=euclidean)",2.0,0.04755731978169915,0.1209750036845401,12.362998660058683,-0.07550232004295152
"KMeans(clusters=4, init=random)",2.5,0.6751377163352481,0.6532316955420245,606.4442582814745,0.47564422935507455
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.5,0.37533757368319776,0.5443983846243341,474.1192879519658,0.3592956259915604
"OPTICS(min_samples=4, distance_metric=euclidean)",2.5,0.08514942049150218,0.13887166975973558,12.19903807025123,-0.14788780296219262
"KMeans(clusters=4, init=random)",3.0,0.6941410712641426,0.6670378800784175,582.6764995643173,0.4806196221238421
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.38467464297960036,0.5342149757654202,462.3857245914358,0.3678493298993915
"OPTICS(min_samples=4, distance_metric=euclidean)",3.0,0.00777815866959469,0.14135380320531082,24.805995714894973,0.08640097361063168
"KMeans(clusters=4, init=random)",3.5,0.764363383969566,0.7237794259714475,708.3480125427267,0.48973578666407536
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.5,0.4055360446108205,0.5680368347045144,558.3822639552197,0.3611915568097017
"OPTICS(min_samples=4, distance_metric=euclidean)",3.5,0.01869298824843277,0.12878930651014048,9.072678692729735,-0.18344562950726637
"KMeans(clusters=4, init=random)",5.0,0.7683597035661978,0.7525975610038349,787.7185862133863,0.5133358934890341
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.5050373650869167,0.6412508590411626,761.8142772494441,0.40233081520065356
"OPTICS(min_samples=4, distance_metric=euclidean)",5.0,0.03353004236675178,0.147781830816414,8.276554557360852,-0.21183693600141865
"KMeans(clusters=4, init=random)",7.0,0.646870854184544,0.713530829499707,904.6258823529163,0.518394062003108
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.5491857269266728,0.7052201031851303,1005.1734966936916,0.44526130978649386
"OPTICS(min_samples=4, distance_metric=euclidean)",7.0,0.03387604542776167,0.16748613561263254,9.280599436009725,-0.19114278963754816
"KMeans(clusters=4, init=random)",9.0,0.8166164121128869,0.8100869395547461,988.5676289095987,0.5482683278601602
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.6997026551239169,0.7777567655618368,1173.181229035339,0.44592186037245407
"OPTICS(min_samples=4, distance_metric=euclidean)",9.0,0.11428245288536346,0.26946340345374464,17.251724769317185,-0.051097340863008024
