epsilon,distance,algorithm,dataset
0.1,17.389641379230586,2d-laplace-truncated,heart-dataset
0.5,3.9794190337239157,2d-laplace-truncated,heart-dataset
0.7,2.864509075142287,2d-laplace-truncated,heart-dataset
1.0,2.0411078764481143,2d-laplace-truncated,heart-dataset
1.5,1.3551911480249175,2d-laplace-truncated,heart-dataset
2.0,1.006017383469292,2d-laplace-truncated,heart-dataset
2.5,0.824558269423939,2d-laplace-truncated,heart-dataset
3.0,0.6910695438023611,2d-laplace-truncated,heart-dataset
3.5,0.5838101422103953,2d-laplace-truncated,heart-dataset
5.0,0.4154825337462525,2d-laplace-truncated,heart-dataset
7.0,0.29989222221961764,2d-laplace-truncated,heart-dataset
9.0,0.2480185372172242,2d-laplace-truncated,heart-dataset
