epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.18998439494963826,0.6077358733427726,[0.         0.53584906 1.        ],[0.         0.34586466 1.        ],0
0.1,0.16764080011349125,0.5823978133236644,[0.         0.59245283 1.        ],[0.         0.42481203 1.        ],1
0.1,0.26202298198326,0.6155096935584741,[0.         0.69811321 1.        ],[0.         0.43609023 1.        ],2
0.1,0.17164136756986803,0.5751780188644074,[0.         0.65660377 1.        ],[0.         0.48496241 1.        ],3
0.1,0.22421620087955735,0.6058819588664835,[0.         0.64150943 1.        ],[0.         0.41729323 1.        ],4
0.1,0.21315080153213217,0.5900833383296361,[0.         0.69811321 1.        ],[0.         0.48496241 1.        ],5
0.1,0.22032912469853877,0.6107442848789949,[0.         0.60754717 1.        ],[0.         0.38721805 1.        ],6
0.1,0.2314228968648035,0.6306649792544415,[0.         0.55849057 1.        ],[0.         0.32706767 1.        ],7
0.1,0.19048091927933036,0.5831527056987503,[0.         0.66792453 1.        ],[0.         0.47744361 1.        ],8
0.1,0.2772166264718399,0.615311987348196,[0.         0.73962264 1.        ],[0.         0.46240602 1.        ],9
0.1,0.17151368988509008,0.5798652397938963,[0.         0.62264151 1.        ],[0.         0.45112782 1.        ],10
0.1,0.26928642360618527,0.635853539835676,[0.         0.63018868 1.        ],[0.         0.36090226 1.        ],11
0.1,0.152404596396652,0.5822172562104909,[0.         0.53962264 1.        ],[0.         0.38721805 1.        ],12
0.1,0.2092779117605334,0.5928826877549993,[0.         0.66792453 1.        ],[0.         0.45864662 1.        ],13
0.1,0.1448290537664917,0.5800844067211597,[0.        0.5245283 1.       ],[0.         0.37969925 1.        ],14
0.1,0.284494254504185,0.6333838827254105,[0.        0.6754717 1.       ],[0.         0.39097744 1.        ],15
0.1,0.1829337494680096,0.5803877563742909,[0.         0.66037736 1.        ],[0.         0.47744361 1.        ],16
0.1,0.2955312810327706,0.6593830334190232,[0.         0.61132075 1.        ],[0.         0.31578947 1.        ],17
0.1,0.17918853738118878,0.5779681732324292,[0.         0.66415094 1.        ],[0.         0.48496241 1.        ],18
0.1,0.291899560221308,0.6461446673106426,[0.         0.64528302 1.        ],[0.         0.35338346 1.        ],19
0.1,0.19436799546034889,0.5803568286589013,[0.         0.70188679 1.        ],[0.        0.5075188 1.       ],20
0.1,0.25407859270818556,0.6387296669248644,[0.         0.58490566 1.        ],[0.         0.33082707 1.        ],21
