epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.112,1.0,[0.    0.112 1.   ],[0. 0. 1.],0
0.1,0.152,1.0,[0.    0.152 1.   ],[0. 0. 1.],1
0.1,0.16,1.0,[0.   0.16 1.  ],[0. 0. 1.],2
0.1,0.2,1.0,[0.  0.2 1. ],[0. 0. 1.],3
0.1,0.176,1.0,[0.    0.176 1.   ],[0. 0. 1.],4
0.1,0.184,1.0,[0.    0.184 1.   ],[0. 0. 1.],5
0.1,0.048,0.5882352941176471,[0.   0.16 1.  ],[0.    0.112 1.   ],6
0.1,0.2,1.0,[0.  0.2 1. ],[0. 0. 1.],7
0.1,0.152,1.0,[0.    0.152 1.   ],[0. 0. 1.],8
0.1,0.144,1.0,[0.    0.144 1.   ],[0. 0. 1.],9
0.1,0.144,1.0,[0.    0.144 1.   ],[0. 0. 1.],10
0.1,0.184,1.0,[0.    0.184 1.   ],[0. 0. 1.],11
0.1,-0.21600000000000003,0.24528301886792453,[0.    0.104 1.   ],[0.   0.32 1.  ],12
0.1,0.24,1.0,[0.   0.24 1.  ],[0. 0. 1.],13
0.1,0.08,1.0,[0.   0.08 1.  ],[0. 0. 1.],14
0.1,0.128,1.0,[0.    0.128 1.   ],[0. 0. 1.],15
0.1,0.104,1.0,[0.    0.104 1.   ],[0. 0. 1.],16
0.1,-0.10400000000000001,0.3725490196078431,[0.    0.152 1.   ],[0.    0.256 1.   ],17
0.1,0.176,0.923076923076923,[0.    0.192 1.   ],[0.    0.016 1.   ],18
0.1,0.224,1.0,[0.    0.224 1.   ],[0. 0. 1.],19
0.1,0.168,1.0,[0.    0.168 1.   ],[0. 0. 1.],20
0.1,0.29600000000000004,0.9111111111111112,[0.    0.328 1.   ],[0.    0.032 1.   ],21
0.1,0.0,0.5,[0.    0.232 1.   ],[0.    0.232 1.   ],22
0.1,0.264,1.0,[0.    0.264 1.   ],[0. 0. 1.],23
0.1,0.208,1.0,[0.    0.208 1.   ],[0. 0. 1.],24
0.1,0.09600000000000002,0.7000000000000001,[0.    0.168 1.   ],[0.    0.072 1.   ],25
0.1,0.112,1.0,[0.    0.112 1.   ],[0. 0. 1.],26
0.1,0.24,1.0,[0.   0.24 1.  ],[0. 0. 1.],27
0.1,0.176,1.0,[0.    0.176 1.   ],[0. 0. 1.],28
0.1,0.288,1.0,[0.    0.288 1.   ],[0. 0. 1.],29
0.1,0.168,1.0,[0.    0.168 1.   ],[0. 0. 1.],30
0.1,0.176,1.0,[0.    0.176 1.   ],[0. 0. 1.],31
0.1,0.256,1.0,[0.    0.256 1.   ],[0. 0. 1.],32
0.1,0.08,1.0,[0.   0.08 1.  ],[0. 0. 1.],33
0.1,0.128,1.0,[0.    0.128 1.   ],[0. 0. 1.],34
0.1,0.248,1.0,[0.    0.248 1.   ],[0. 0. 1.],35
0.1,0.16,1.0,[0.   0.16 1.  ],[0. 0. 1.],36
0.1,0.224,1.0,[0.    0.224 1.   ],[0. 0. 1.],37
0.1,0.072,1.0,[0.    0.072 1.   ],[0. 0. 1.],38
0.1,0.336,1.0,[0.    0.336 1.   ],[0. 0. 1.],39
0.1,0.136,1.0,[0.    0.136 1.   ],[0. 0. 1.],40
0.1,0.136,1.0,[0.    0.136 1.   ],[0. 0. 1.],41
0.1,0.088,1.0,[0.    0.088 1.   ],[0. 0. 1.],42
0.1,0.2,1.0,[0.  0.2 1. ],[0. 0. 1.],43
0.1,0.12,1.0,[0.   0.12 1.  ],[0. 0. 1.],44
0.1,0.104,1.0,[0.    0.104 1.   ],[0. 0. 1.],45
0.1,0.176,0.9583333333333333,[0.    0.184 1.   ],[0.    0.008 1.   ],46
0.1,0.208,1.0,[0.    0.208 1.   ],[0. 0. 1.],47
0.1,0.32,1.0,[0.   0.32 1.  ],[0. 0. 1.],48
0.1,0.184,1.0,[0.    0.184 1.   ],[0. 0. 1.],49
0.5,0.168,0.8620689655172414,[0.  0.2 1. ],[0.    0.032 1.   ],0
0.5,0.184,1.0,[0.    0.184 1.   ],[0. 0. 1.],1
0.5,-0.064,0.40476190476190477,[0.    0.136 1.   ],[0.  0.2 1. ],2
0.5,-0.09599999999999997,0.426829268292683,[0.   0.28 1.  ],[0.    0.376 1.   ],3
0.5,0.016000000000000014,0.5185185185185185,[0.    0.224 1.   ],[0.    0.208 1.   ],4
0.5,0.224,1.0,[0.    0.224 1.   ],[0. 0. 1.],5
0.5,0.136,1.0,[0.    0.136 1.   ],[0. 0. 1.],6
0.5,0.21600000000000003,0.8461538461538461,[0.    0.264 1.   ],[0.    0.048 1.   ],7
0.5,0.03999999999999998,0.536231884057971,[0.    0.296 1.   ],[0.    0.256 1.   ],8
0.5,0.28,1.0,[0.   0.28 1.  ],[0. 0. 1.],9
0.5,0.216,1.0,[0.    0.216 1.   ],[0. 0. 1.],10
0.5,0.16,1.0,[0.   0.16 1.  ],[0. 0. 1.],11
0.5,0.184,1.0,[0.    0.184 1.   ],[0. 0. 1.],12
0.5,0.2,1.0,[0.  0.2 1. ],[0. 0. 1.],13
0.5,-0.064,0.4310344827586207,[0.  0.2 1. ],[0.    0.264 1.   ],14
0.5,0.032,1.0,[0.    0.032 1.   ],[0. 0. 1.],15
0.5,-0.07200000000000001,0.43661971830985913,[0.    0.248 1.   ],[0.   0.32 1.  ],16
0.5,-0.04799999999999999,0.45454545454545453,[0.   0.24 1.  ],[0.    0.288 1.   ],17
0.5,0.055999999999999994,0.6842105263157895,[0.    0.104 1.   ],[0.    0.048 1.   ],18
0.5,0.015999999999999986,0.5294117647058822,[0.    0.144 1.   ],[0.    0.128 1.   ],19
0.5,0.184,0.8285714285714285,[0.    0.232 1.   ],[0.    0.048 1.   ],20
0.5,0.112,1.0,[0.    0.112 1.   ],[0. 0. 1.],21
0.5,0.12,1.0,[0.   0.12 1.  ],[0. 0. 1.],22
0.5,0.176,0.775,[0.    0.248 1.   ],[0.    0.072 1.   ],23
0.5,0.08000000000000002,0.625,[0.  0.2 1. ],[0.   0.12 1.  ],24
0.5,0.23199999999999998,0.9677419354838709,[0.   0.24 1.  ],[0.    0.008 1.   ],25
0.5,0.007999999999999993,0.5294117647058822,[0.    0.072 1.   ],[0.    0.064 1.   ],26
0.5,0.224,1.0,[0.    0.224 1.   ],[0. 0. 1.],27
0.5,0.304,1.0,[0.    0.304 1.   ],[0. 0. 1.],28
0.5,-0.28,0.3076923076923077,[0.    0.224 1.   ],[0.    0.504 1.   ],29
0.5,0.104,1.0,[0.    0.104 1.   ],[0. 0. 1.],30
0.5,-0.023999999999999994,0.4634146341463415,[0.    0.152 1.   ],[0.    0.176 1.   ],31
0.5,0.128,1.0,[0.    0.128 1.   ],[0. 0. 1.],32
0.5,0.264,0.9714285714285714,[0.    0.272 1.   ],[0.    0.008 1.   ],33
0.5,0.072,0.6551724137931034,[0.    0.152 1.   ],[0.   0.08 1.  ],34
0.5,0.023999999999999994,0.5555555555555556,[0.   0.12 1.  ],[0.    0.096 1.   ],35
0.5,0.064,0.9,[0.    0.072 1.   ],[0.    0.008 1.   ],36
0.5,-0.032000000000000015,0.43333333333333335,[0.    0.104 1.   ],[0.    0.136 1.   ],37
0.5,0.152,1.0,[0.    0.152 1.   ],[0. 0. 1.],38
0.5,0.09600000000000003,0.603448275862069,[0.   0.28 1.  ],[0.    0.184 1.   ],39
0.5,-0.008000000000000007,0.47826086956521735,[0.    0.088 1.   ],[0.    0.096 1.   ],40
0.5,0.07200000000000001,0.8,[0.    0.096 1.   ],[0.    0.024 1.   ],41
0.5,-0.04000000000000001,0.41379310344827586,[0.    0.096 1.   ],[0.    0.136 1.   ],42
0.5,0.16,1.0,[0.   0.16 1.  ],[0. 0. 1.],43
0.5,-0.016,0.4666666666666667,[0.    0.112 1.   ],[0.    0.128 1.   ],44
0.5,0.128,0.9444444444444444,[0.    0.136 1.   ],[0.    0.008 1.   ],45
0.5,-0.08000000000000002,0.3958333333333333,[0.    0.152 1.   ],[0.    0.232 1.   ],46
0.5,-0.144,0.375,[0.    0.216 1.   ],[0.   0.36 1.  ],47
0.5,0.12,1.0,[0.   0.12 1.  ],[0. 0. 1.],48
0.5,0.055999999999999994,0.6206896551724138,[0.    0.144 1.   ],[0.    0.088 1.   ],49
0.7,0.07199999999999998,0.6046511627906977,[0.    0.208 1.   ],[0.    0.136 1.   ],0
0.7,0.0,0.5,[0.    0.128 1.   ],[0.    0.128 1.   ],1
0.7,0.21600000000000003,0.813953488372093,[0.   0.28 1.  ],[0.    0.064 1.   ],2
0.7,-0.024000000000000007,0.45161290322580644,[0.    0.112 1.   ],[0.    0.136 1.   ],3
0.7,0.16,0.9545454545454545,[0.    0.168 1.   ],[0.    0.008 1.   ],4
0.7,0.12,1.0,[0.   0.12 1.  ],[0. 0. 1.],5
0.7,0.24,0.9411764705882353,[0.    0.256 1.   ],[0.    0.016 1.   ],6
0.7,-0.12799999999999997,0.39189189189189194,[0.    0.232 1.   ],[0.   0.36 1.  ],7
0.7,0.128,0.7222222222222222,[0.    0.208 1.   ],[0.   0.08 1.  ],8
0.7,0.05600000000000002,0.5813953488372093,[0.  0.2 1. ],[0.    0.144 1.   ],9
0.7,0.03200000000000003,0.5303030303030303,[0.   0.28 1.  ],[0.    0.248 1.   ],10
0.7,0.008,0.5714285714285714,[0.    0.032 1.   ],[0.    0.024 1.   ],11
0.7,0.04000000000000001,0.5490196078431372,[0.    0.224 1.   ],[0.    0.184 1.   ],12
0.7,0.023999999999999994,0.5306122448979591,[0.    0.208 1.   ],[0.    0.184 1.   ],13
0.7,0.19999999999999998,0.9629629629629629,[0.    0.208 1.   ],[0.    0.008 1.   ],14
0.7,0.04799999999999999,0.5340909090909092,[0.    0.376 1.   ],[0.    0.328 1.   ],15
0.7,-0.03999999999999998,0.4468085106382979,[0.    0.168 1.   ],[0.    0.208 1.   ],16
0.7,0.208,1.0,[0.    0.208 1.   ],[0. 0. 1.],17
0.7,0.023999999999999994,0.5454545454545454,[0.    0.144 1.   ],[0.   0.12 1.  ],18
0.7,-0.08000000000000002,0.2916666666666667,[0.    0.056 1.   ],[0.    0.136 1.   ],19
0.7,0.16799999999999998,0.9565217391304347,[0.    0.176 1.   ],[0.    0.008 1.   ],20
0.7,0.328,0.9019607843137255,[0.    0.368 1.   ],[0.   0.04 1.  ],21
0.7,-0.096,0.4117647058823529,[0.    0.224 1.   ],[0.   0.32 1.  ],22
0.7,0.023999999999999994,0.5365853658536586,[0.    0.176 1.   ],[0.    0.152 1.   ],23
0.7,0.064,0.6,[0.    0.192 1.   ],[0.    0.128 1.   ],24
0.7,0.184,1.0,[0.    0.184 1.   ],[0. 0. 1.],25
0.7,0.10400000000000001,0.6326530612244897,[0.    0.248 1.   ],[0.    0.144 1.   ],26
0.7,-0.07200000000000001,0.3902439024390244,[0.    0.128 1.   ],[0.  0.2 1. ],27
0.7,0.055999999999999994,0.5853658536585366,[0.    0.192 1.   ],[0.    0.136 1.   ],28
0.7,0.0,0.5,[0.    0.184 1.   ],[0.    0.184 1.   ],29
0.7,0.328,1.0,[0.    0.328 1.   ],[0. 0. 1.],30
0.7,0.024000000000000007,0.5517241379310346,[0.    0.128 1.   ],[0.    0.104 1.   ],31
0.7,0.00799999999999998,0.5142857142857142,[0.    0.144 1.   ],[0.    0.136 1.   ],32
0.7,0.224,1.0,[0.    0.224 1.   ],[0. 0. 1.],33
0.7,0.048,0.7142857142857143,[0.   0.08 1.  ],[0.    0.032 1.   ],34
0.7,0.08,0.8571428571428571,[0.    0.096 1.   ],[0.    0.016 1.   ],35
0.7,0.128,1.0,[0.    0.128 1.   ],[0. 0. 1.],36
0.7,0.176,0.8666666666666667,[0.    0.208 1.   ],[0.    0.032 1.   ],37
0.7,-0.023999999999999994,0.45714285714285713,[0.    0.128 1.   ],[0.    0.152 1.   ],38
0.7,0.00799999999999998,0.5142857142857142,[0.    0.144 1.   ],[0.    0.136 1.   ],39
0.7,0.22399999999999998,0.9375,[0.   0.24 1.  ],[0.    0.016 1.   ],40
0.7,-0.06400000000000002,0.3461538461538461,[0.    0.072 1.   ],[0.    0.136 1.   ],41
0.7,0.176,1.0,[0.    0.176 1.   ],[0. 0. 1.],42
0.7,0.176,1.0,[0.    0.176 1.   ],[0. 0. 1.],43
0.7,-0.016000000000000014,0.48214285714285715,[0.    0.216 1.   ],[0.    0.232 1.   ],44
0.7,0.096,1.0,[0.    0.096 1.   ],[0. 0. 1.],45
0.7,0.10400000000000001,0.9333333333333333,[0.    0.112 1.   ],[0.    0.008 1.   ],46
0.7,0.096,0.7727272727272727,[0.    0.136 1.   ],[0.   0.04 1.  ],47
0.7,0.24,1.0,[0.   0.24 1.  ],[0. 0. 1.],48
0.7,0.16,0.8846153846153847,[0.    0.184 1.   ],[0.    0.024 1.   ],49
1.0,0.056,0.6666666666666666,[0.    0.112 1.   ],[0.    0.056 1.   ],0
1.0,0.048,0.5882352941176471,[0.   0.16 1.  ],[0.    0.112 1.   ],1
1.0,0.128,0.8636363636363636,[0.    0.152 1.   ],[0.    0.024 1.   ],2
1.0,0.15999999999999998,0.9166666666666666,[0.    0.176 1.   ],[0.    0.016 1.   ],3
1.0,-0.10400000000000004,0.38596491228070173,[0.    0.176 1.   ],[0.   0.28 1.  ],4
1.0,-0.192,0.35714285714285715,[0.   0.24 1.  ],[0.    0.432 1.   ],5
1.0,0.008000000000000007,0.5106382978723404,[0.    0.192 1.   ],[0.    0.184 1.   ],6
1.0,0.256,0.9,[0.    0.288 1.   ],[0.    0.032 1.   ],7
1.0,0.096,0.6304347826086957,[0.    0.232 1.   ],[0.    0.136 1.   ],8
1.0,0.144,1.0,[0.    0.144 1.   ],[0. 0. 1.],9
1.0,0.176,1.0,[0.    0.176 1.   ],[0. 0. 1.],10
1.0,0.0,0.5,[0.    0.136 1.   ],[0.    0.136 1.   ],11
1.0,-0.055999999999999994,0.4363636363636364,[0.    0.192 1.   ],[0.    0.248 1.   ],12
1.0,0.10400000000000001,0.9333333333333333,[0.    0.112 1.   ],[0.    0.008 1.   ],13
1.0,0.12,1.0,[0.   0.12 1.  ],[0. 0. 1.],14
1.0,0.04799999999999999,0.575,[0.    0.184 1.   ],[0.    0.136 1.   ],15
1.0,0.008000000000000007,0.5106382978723404,[0.    0.192 1.   ],[0.    0.184 1.   ],16
1.0,0.192,0.9615384615384615,[0.  0.2 1. ],[0.    0.008 1.   ],17
1.0,0.055999999999999994,0.6129032258064516,[0.    0.152 1.   ],[0.    0.096 1.   ],18
1.0,0.088,0.6666666666666666,[0.    0.176 1.   ],[0.    0.088 1.   ],19
1.0,0.024000000000000007,0.5599999999999999,[0.    0.112 1.   ],[0.    0.088 1.   ],20
1.0,0.02400000000000002,0.5384615384615385,[0.    0.168 1.   ],[0.    0.144 1.   ],21
1.0,0.056,1.0,[0.    0.056 1.   ],[0. 0. 1.],22
1.0,-0.192,0.2,[0.    0.064 1.   ],[0.    0.256 1.   ],23
1.0,0.016,0.5454545454545455,[0.    0.096 1.   ],[0.   0.08 1.  ],24
1.0,0.08800000000000001,0.6410256410256411,[0.  0.2 1. ],[0.    0.112 1.   ],25
1.0,0.07200000000000001,0.6097560975609756,[0.  0.2 1. ],[0.    0.128 1.   ],26
1.0,0.15200000000000002,0.8064516129032259,[0.  0.2 1. ],[0.    0.048 1.   ],27
1.0,0.264,0.9459459459459459,[0.   0.28 1.  ],[0.    0.016 1.   ],28
1.0,0.152,0.7714285714285714,[0.    0.216 1.   ],[0.    0.064 1.   ],29
1.0,0.0,0.5,[0.    0.144 1.   ],[0.    0.144 1.   ],30
1.0,0.35200000000000004,0.8928571428571429,[0.  0.4 1. ],[0.    0.048 1.   ],31
1.0,0.008000000000000007,0.5121951219512195,[0.    0.168 1.   ],[0.   0.16 1.  ],32
1.0,0.096,0.9285714285714286,[0.    0.104 1.   ],[0.    0.008 1.   ],33
1.0,-0.04799999999999999,0.42500000000000004,[0.    0.136 1.   ],[0.    0.184 1.   ],34
1.0,0.08,0.7777777777777777,[0.    0.112 1.   ],[0.    0.032 1.   ],35
1.0,0.07200000000000001,0.6451612903225806,[0.   0.16 1.  ],[0.    0.088 1.   ],36
1.0,0.112,0.8888888888888888,[0.    0.128 1.   ],[0.    0.016 1.   ],37
1.0,0.112,0.7058823529411764,[0.    0.192 1.   ],[0.   0.08 1.  ],38
1.0,-0.016,0.4666666666666667,[0.    0.112 1.   ],[0.    0.128 1.   ],39
1.0,0.136,0.8695652173913044,[0.   0.16 1.  ],[0.    0.024 1.   ],40
1.0,0.16000000000000003,0.7000000000000001,[0.   0.28 1.  ],[0.   0.12 1.  ],41
1.0,0.023999999999999966,0.5180722891566265,[0.    0.344 1.   ],[0.   0.32 1.  ],42
