epsilon,distance,algorithm,dataset
0.1,1268.0640336762915,2d-piecewise,heart-dataset
0.5,237.60706844331304,2d-piecewise,heart-dataset
0.7,164.5233338520767,2d-piecewise,heart-dataset
1.0,107.61705094205527,2d-piecewise,heart-dataset
1.5,65.60339156803596,2d-piecewise,heart-dataset
2.0,44.02566167355492,2d-piecewise,heart-dataset
2.5,31.955976441090478,2d-piecewise,heart-dataset
3.0,23.760120809729457,2d-piecewise,heart-dataset
3.5,17.15111786630622,2d-piecewise,heart-dataset
5.0,7.685657081015839,2d-piecewise,heart-dataset
7.0,2.738921552180789,2d-piecewise,heart-dataset
9.0,0.8775353571852017,2d-piecewise,heart-dataset
