epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.2879557384026103,0.6591800244675179,[0.         0.59622642 1.        ],[0.         0.30827068 1.        ],0
0.1,0.4947794013335225,0.8398853957549652,[0.         0.61132075 1.        ],[0.         0.11654135 1.        ],1
0.1,0.6491700950489431,0.9576,[0.         0.67924528 1.        ],[0.         0.03007519 1.        ],2
0.1,0.5625762519506312,0.886390209681191,[0.         0.64528302 1.        ],[0.         0.08270677 1.        ],3
0.1,0.6452972052773442,0.9942412586652758,[0.        0.6490566 1.       ],[0.        0.0037594 1.       ],4
0.1,0.5550716413675698,0.8735131832674647,[0.        0.6490566 1.       ],[0.         0.09398496 1.        ],5
0.1,0.28086253369272235,0.6234012316437707,[0.         0.70943396 1.        ],[0.         0.42857143 1.        ],6
0.1,0.06268974322598941,0.5243312887489125,[0.        0.6754717 1.       ],[0.         0.61278195 1.        ],7
0.1,0.2245566747056319,0.5905766831847468,[0.         0.73207547 1.        ],[0.        0.5075188 1.       ],8
0.1,0.6452830188679245,1.0,[0.         0.64528302 1.        ],[0. 0. 1.],9
0.1,0.35224854589303445,0.6687049870906373,[0.         0.69811321 1.        ],[0.         0.34586466 1.        ],10
0.1,0.27321605901546314,0.6267556503310561,[0.        0.6754717 1.       ],[0.         0.40225564 1.        ],11
0.1,0.45376649170095046,0.7388226861392349,[0.         0.70188679 1.        ],[0.        0.2481203 1.       ],12
0.1,0.24682933749468006,0.6157325493221939,[0.         0.65660377 1.        ],[0.         0.40977444 1.        ],13
0.1,0.02132217335792308,0.5080639103795349,[0.         0.67169811 1.        ],[0.         0.65037594 1.        ],14
0.1,0.0023123847354233895,0.5009416195856874,[0.         0.61509434 1.        ],[0.         0.61278195 1.        ],15
0.1,0.43851610157469145,0.7573300477847522,[0.         0.64528302 1.        ],[0.         0.20676692 1.        ],16
0.1,0.630500780252518,0.8960858405817766,[0.         0.71320755 1.        ],[0.         0.08270677 1.        ],17
0.1,-0.17101716555539792,0.42813710879284644,[0.         0.50943396 1.        ],[0.         0.68045113 1.        ],18
0.1,0.536331394524046,0.8386056676100743,[0.         0.66415094 1.        ],[0.         0.12781955 1.        ],19
0.1,0.5325010639807064,0.8512238940040422,[0.         0.64528302 1.        ],[0.         0.11278195 1.        ],20
0.1,0.35217761384593554,0.6749841404102347,[0.         0.67924528 1.        ],[0.         0.32706767 1.        ],21
0.1,0.6227408142999007,0.9610351418908984,[0.        0.6490566 1.       ],[0.         0.02631579 1.        ],22
0.1,0.6265853312526599,0.9370645978467385,[0.         0.67169811 1.        ],[0.         0.04511278 1.        ],23
0.1,0.27703220314938287,0.6254561340391632,[0.         0.69056604 1.        ],[0.         0.41353383 1.        ],24
0.1,0.006412257057738624,0.5022820906373697,[0.         0.70566038 1.        ],[0.         0.69924812 1.        ],25
0.1,0.4157469144559512,0.7729389412509778,[0.         0.58867925 1.        ],[0.         0.17293233 1.        ],26
0.1,0.1826074620513548,0.5946581950817743,[0.         0.57358491 1.        ],[0.         0.39097744 1.        ],27
0.1,0.44973755142573413,0.7773966609499142,[0.         0.63018868 1.        ],[0.         0.18045113 1.        ],28
0.1,0.39327564193502623,0.7370941808354146,[0.         0.61132075 1.        ],[0.         0.21804511 1.        ],29
0.1,0.35240459639665195,0.6563684203900241,[0.         0.73962264 1.        ],[0.         0.38721805 1.        ],30
0.1,0.3822386154064406,0.6972936559076797,[0.        0.6754717 1.       ],[0.         0.29323308 1.        ],31
0.1,0.3895871754858845,0.7236975008960281,[0.         0.63018868 1.        ],[0.        0.2406015 1.       ],32
0.1,0.5025819265143991,0.7885075818036712,[0.         0.68679245 1.        ],[0.         0.18421053 1.        ],33
0.1,0.29578663640232655,0.6391670004004806,[0.         0.67924528 1.        ],[0.         0.38345865 1.        ],34
0.1,0.5436657681940701,0.8959560266980762,[0.         0.61509434 1.        ],[0.         0.07142857 1.        ],35
0.1,0.5890906511561923,0.8649266192108269,[0.         0.69811321 1.        ],[0.         0.10902256 1.        ],36
0.1,0.6078876436373953,0.8855497570631635,[0.         0.69811321 1.        ],[0.         0.09022556 1.        ],37
0.1,0.05901546318626749,0.5220666242308508,[0.         0.69811321 1.        ],[0.         0.63909774 1.        ],38
0.1,0.19025393672861396,0.5928212510901012,[0.         0.60754717 1.        ],[0.         0.41729323 1.        ],39
0.1,0.25790892325152504,0.6357932476844936,[0.         0.60377358 1.        ],[0.         0.34586466 1.        ],40
0.1,0.19799971627181157,0.5870061216602043,[0.         0.66792453 1.        ],[0.         0.46992481 1.        ],41
0.1,0.07769896439211232,0.5308782572417604,[0.         0.66792453 1.        ],[0.         0.59022556 1.        ],42
0.1,0.055000709320470964,0.5228147398401732,[0.         0.63018868 1.        ],[0.         0.57518797 1.        ],43
0.1,0.6339764505603631,0.9941396315707999,[0.         0.63773585 1.        ],[0.        0.0037594 1.       ],44
0.1,0.4271244148106114,0.7659341435839457,[0.         0.61509434 1.        ],[0.         0.18796992 1.        ],45
0.1,0.2466307277628032,0.6283309957924264,[0.         0.60377358 1.        ],[0.         0.35714286 1.        ],46
0.1,0.07731593133777842,0.5366509751176867,[0.         0.56603774 1.        ],[0.        0.4887218 1.       ],47
0.1,0.5700241168960136,0.9174128939768549,[0.         0.62641509 1.        ],[0.         0.05639098 1.        ],48
0.1,0.3748333096893176,0.6808190304125264,[0.         0.70566038 1.        ],[0.         0.33082707 1.        ],49
0.5,0.35561072492552137,0.7144054604239014,[0.         0.59245283 1.        ],[0.         0.23684211 1.        ],0
0.5,0.138033763654419,0.5532567049808429,[0.         0.71698113 1.        ],[0.         0.57894737 1.        ],1
0.5,0.37497517378351536,0.6686316541622008,[0.         0.74339623 1.        ],[0.         0.36842105 1.        ],2
0.5,0.4609731876861966,0.7967271797494248,[0.         0.61886792 1.        ],[0.         0.15789474 1.        ],3
0.5,0.3064831891048376,0.706365581537521,[0.        0.5245283 1.       ],[0.         0.21804511 1.        ],4
0.5,0.3520357497517378,0.6890666666666666,[0.         0.64150943 1.        ],[0.         0.28947368 1.        ],5
0.5,0.20160306426443464,0.5958893942052064,[0.         0.62641509 1.        ],[0.         0.42481203 1.        ],6
0.5,0.35582352106681797,0.6888079250850622,[0.        0.6490566 1.       ],[0.         0.29323308 1.        ],7
0.5,0.2878848063555114,0.6660556764806965,[0.         0.57735849 1.        ],[0.         0.28947368 1.        ],8
0.5,0.28796992481203004,0.6578730420445177,[0.  0.6 1. ],[0.         0.31203008 1.        ],9
0.5,0.3856717264860264,0.7435759595742393,[0.         0.58867925 1.        ],[0.         0.20300752 1.        ],10
0.5,0.521449851042701,0.7929918535877692,[0.         0.70566038 1.        ],[0.         0.18421053 1.        ],11
0.5,0.3260036884664491,0.6471190781049936,[0.         0.71698113 1.        ],[0.         0.39097744 1.        ],12
0.5,0.35965385161015745,0.6842120560367378,[0.         0.66792453 1.        ],[0.         0.30827068 1.        ],13
0.5,0.19829763086962682,0.5765012368922261,[0.         0.74716981 1.        ],[0.         0.54887218 1.        ],14
0.5,0.41244148106114337,0.7049039369634778,[0.         0.70943396 1.        ],[0.         0.29699248 1.        ],15
0.5,0.3708469286423606,0.7016087982600916,[0.         0.64528302 1.        ],[0.         0.27443609 1.        ],16
0.5,0.5175911476805221,0.807760438633488,[0.         0.67924528 1.        ],[0.         0.16165414 1.        ],17
0.5,0.27270534827635123,0.6690588007668901,[0.         0.53962264 1.        ],[0.         0.26691729 1.        ],18
0.5,0.48338771456944246,0.8560203953692482,[0.         0.58113208 1.        ],[0.         0.09774436 1.        ],19
0.5,0.3709036742800397,0.6952430737062206,[0.         0.66037736 1.        ],[0.         0.28947368 1.        ],20
0.5,0.16742800397219465,0.5925763233033166,[0.         0.53584906 1.        ],[0.         0.36842105 1.        ],21
0.5,0.2313661512271244,0.6352344151644306,[0.         0.54339623 1.        ],[0.         0.31203008 1.        ],22
0.5,0.25429138884948216,0.6235951182513962,[0.         0.64150943 1.        ],[0.         0.38721805 1.        ],23
0.5,0.28781387430841254,0.6735559813851629,[0.         0.55849057 1.        ],[0.         0.27067669 1.        ],24
0.5,0.41605901546318624,0.7243299473748623,[0.         0.67169811 1.        ],[0.        0.2556391 1.       ],25
0.5,0.288352957866364,0.6292574975199043,[0.         0.70188679 1.        ],[0.         0.41353383 1.        ],26
0.5,0.5322031493828911,0.9435970202199361,[0.         0.56603774 1.        ],[0.         0.03383459 1.        ],27
0.5,0.3066817988367144,0.6808190304125263,[0.         0.57735849 1.        ],[0.         0.27067669 1.        ],28
0.5,0.2579231096609448,0.6347319589156822,[0.         0.60754717 1.        ],[0.         0.34962406 1.        ],29
0.5,0.3783089799971627,0.7144442478730076,[0.         0.63018868 1.        ],[0.        0.2518797 1.       ],30
0.5,0.5326287416654845,0.8224684359701109,[0.         0.67924528 1.        ],[0.         0.14661654 1.        ],31
0.5,0.17528727479075046,0.581336563273474,[0.         0.62641509 1.        ],[0.         0.45112782 1.        ],32
0.5,0.3708611150517804,0.6999785808267801,[0.        0.6490566 1.       ],[0.         0.27819549 1.        ],33
0.5,0.34824797843665767,0.6893317702227433,[0.         0.63396226 1.        ],[0.         0.28571429 1.        ],34
0.5,0.40458221024258756,0.7428016823034617,[0.         0.61886792 1.        ],[0.         0.21428571 1.        ],35
0.5,0.19436799546034889,0.5803568286589013,[0.         0.70188679 1.        ],[0.        0.5075188 1.       ],36
0.5,0.39736132784792166,0.6989064053401506,[0.         0.69811321 1.        ],[0.         0.30075188 1.        ],37
0.5,0.24338204000567454,0.5984664125992929,[0.         0.73962264 1.        ],[0.        0.4962406 1.       ],38
0.5,0.4645765356788197,0.8365811544153922,[0.         0.57735849 1.        ],[0.         0.11278195 1.        ],39
