epsilon,distance,algorithm,dataset
0.1,93.10064105062915,2d-piecewise,line-dataset
0.5,17.850759131635332,2d-piecewise,line-dataset
0.7,12.260606585229556,2d-piecewise,line-dataset
1.0,7.97348056283408,2d-piecewise,line-dataset
1.5,4.579997656719544,2d-piecewise,line-dataset
2.0,3.121181960474163,2d-piecewise,line-dataset
2.5,2.237008171996263,2d-piecewise,line-dataset
3.0,1.6170189433558142,2d-piecewise,line-dataset
3.5,1.1839866322196193,2d-piecewise,line-dataset
5.0,0.5229835171843629,2d-piecewise,line-dataset
7.0,0.1705367061668228,2d-piecewise,line-dataset
9.0,0.07680651468926752,2d-piecewise,line-dataset
