epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.41600000000000004,0.8333333333333334,[0.   0.52 1.  ],[0.    0.104 1.   ],0
0.1,0.52,0.9710144927536232,[0.    0.536 1.   ],[0.    0.016 1.   ],1
0.1,0.11999999999999994,0.5590551181102361,[0.    0.568 1.   ],[0.    0.448 1.   ],2
0.1,0.36,0.7272727272727273,[0.    0.576 1.   ],[0.    0.216 1.   ],3
0.1,0.3360000000000001,0.723404255319149,[0.    0.544 1.   ],[0.    0.208 1.   ],4
0.1,0.14400000000000002,0.5803571428571429,[0.   0.52 1.  ],[0.    0.376 1.   ],5
0.1,0.56,1.0,[0.   0.56 1.  ],[0. 0. 1.],6
0.1,0.352,0.7619047619047619,[0.    0.512 1.   ],[0.   0.16 1.  ],7
0.1,0.512,1.0,[0.    0.512 1.   ],[0. 0. 1.],8
0.1,0.128,0.5754716981132075,[0.    0.488 1.   ],[0.   0.36 1.  ],9
0.1,0.384,0.8333333333333334,[0.   0.48 1.  ],[0.    0.096 1.   ],10
0.1,0.376,0.9607843137254901,[0.    0.392 1.   ],[0.    0.016 1.   ],11
0.1,0.32799999999999996,0.8360655737704917,[0.    0.408 1.   ],[0.   0.08 1.  ],12
0.1,0.472,1.0,[0.    0.472 1.   ],[0. 0. 1.],13
0.1,0.16000000000000003,0.5862068965517242,[0.    0.544 1.   ],[0.    0.384 1.   ],14
0.1,0.376,0.7764705882352941,[0.    0.528 1.   ],[0.    0.152 1.   ],15
0.1,0.064,0.5344827586206897,[0.    0.496 1.   ],[0.    0.432 1.   ],16
0.1,0.17600000000000005,0.6,[0.    0.528 1.   ],[0.    0.352 1.   ],17
0.1,0.6,0.9518072289156626,[0.    0.632 1.   ],[0.    0.032 1.   ],18
0.1,0.12800000000000006,0.5666666666666668,[0.    0.544 1.   ],[0.    0.416 1.   ],19
0.1,0.28,0.7160493827160493,[0.    0.464 1.   ],[0.    0.184 1.   ],20
0.1,0.136,0.580952380952381,[0.    0.488 1.   ],[0.    0.352 1.   ],21
0.1,0.424,0.9818181818181818,[0.    0.432 1.   ],[0.    0.008 1.   ],22
0.1,0.384,0.8333333333333334,[0.   0.48 1.  ],[0.    0.096 1.   ],23
0.1,0.2,0.6237623762376238,[0.    0.504 1.   ],[0.    0.304 1.   ],24
0.1,0.304,0.8275862068965517,[0.    0.384 1.   ],[0.   0.08 1.  ],25
0.1,0.36000000000000004,0.7419354838709679,[0.    0.552 1.   ],[0.    0.192 1.   ],26
0.1,0.52,1.0,[0.   0.52 1.  ],[0. 0. 1.],27
0.1,0.20799999999999996,0.6413043478260869,[0.    0.472 1.   ],[0.    0.264 1.   ],28
0.1,0.03999999999999998,0.5308641975308642,[0.    0.344 1.   ],[0.    0.304 1.   ],29
0.1,0.552,0.9859154929577465,[0.   0.56 1.  ],[0.    0.008 1.   ],30
0.1,0.472,0.8470588235294118,[0.    0.576 1.   ],[0.    0.104 1.   ],31
0.1,0.592,1.0,[0.    0.592 1.   ],[0. 0. 1.],32
0.1,0.23199999999999993,0.6283185840707964,[0.    0.568 1.   ],[0.    0.336 1.   ],33
0.1,0.504,0.9315068493150684,[0.    0.544 1.   ],[0.   0.04 1.  ],34
0.1,0.12000000000000005,0.5742574257425742,[0.    0.464 1.   ],[0.    0.344 1.   ],35
0.1,0.24000000000000005,0.6388888888888888,[0.    0.552 1.   ],[0.    0.312 1.   ],36
0.1,0.17600000000000005,0.5785714285714285,[0.    0.648 1.   ],[0.    0.472 1.   ],37
0.1,0.22400000000000003,0.6372549019607843,[0.   0.52 1.  ],[0.    0.296 1.   ],38
0.1,0.008000000000000007,0.5045045045045045,[0.    0.448 1.   ],[0.   0.44 1.  ],39
0.1,0.12799999999999995,0.5625,[0.    0.576 1.   ],[0.    0.448 1.   ],40
0.1,0.568,1.0,[0.    0.568 1.   ],[0. 0. 1.],41
0.1,0.392,0.7289719626168224,[0.    0.624 1.   ],[0.    0.232 1.   ],42
0.1,0.5279999999999999,0.923076923076923,[0.    0.576 1.   ],[0.    0.048 1.   ],43
0.1,0.16000000000000003,0.5925925925925926,[0.    0.512 1.   ],[0.    0.352 1.   ],44
0.1,0.384,0.8870967741935484,[0.   0.44 1.  ],[0.    0.056 1.   ],45
0.1,0.56,1.0,[0.   0.56 1.  ],[0. 0. 1.],46
