epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.34040289402752166,0.7257503057672406,[0.         0.54716981 1.        ],[0.         0.20676692 1.        ],0
0.1,0.2502340757554263,0.6431063298122637,[0.         0.56226415 1.        ],[0.         0.31203008 1.        ],1
0.1,0.2805504326854873,0.6442745418466208,[0.         0.62641509 1.        ],[0.         0.34586466 1.        ],2
0.1,0.33308270676691726,0.6921075455333912,[0.  0.6 1. ],[0.         0.26691729 1.        ],3
0.1,0.35546886083132356,0.7357329670536437,[0.         0.55471698 1.        ],[0.         0.19924812 1.        ],4
0.1,0.1866080295077316,0.5856893451807073,[0.         0.63773585 1.        ],[0.         0.45112782 1.        ],5
0.1,0.2500070932047099,0.6658385560762614,[0.         0.50188679 1.        ],[0.        0.2518797 1.       ],6
0.1,0.18638104695701518,0.5962378036274136,[0.         0.57735849 1.        ],[0.         0.39097744 1.        ],7
0.1,0.22031493828911902,0.6115821238683719,[0.         0.60377358 1.        ],[0.         0.38345865 1.        ],8
0.1,0.26905944105546886,0.6545318254407978,[0.         0.56981132 1.        ],[0.         0.30075188 1.        ],9
0.1,0.29510568875017734,0.7104528347699405,[0.         0.49811321 1.        ],[0.         0.20300752 1.        ],10
0.1,0.272847212370549,0.6546981323295208,[0.         0.57735849 1.        ],[0.         0.30451128 1.        ],11
0.1,0.23879982976308695,0.6487460898149621,[0.         0.52075472 1.        ],[0.         0.28195489 1.        ],12
0.1,0.33731025677401044,0.6517028851429811,[0.        0.7245283 1.       ],[0.         0.38721805 1.        ],13
0.1,0.25759682224429,0.6643020015201418,[0.         0.52075472 1.        ],[0.         0.26315789 1.        ],14
0.1,0.2879557384026103,0.6591800244675179,[0.         0.59622642 1.        ],[0.         0.30827068 1.        ],15
0.1,0.22756419350262447,0.6360075291244849,[0.         0.53207547 1.        ],[0.         0.30451128 1.        ],16
0.1,0.20137608171371824,0.6081853517262403,[0.         0.56603774 1.        ],[0.         0.36466165 1.        ],17
0.1,0.2164420485175202,0.6162757022878657,[0.         0.57358491 1.        ],[0.         0.35714286 1.        ],18
0.1,0.2466307277628032,0.6283309957924264,[0.         0.60377358 1.        ],[0.         0.35714286 1.        ],19
0.1,0.2954603489856717,0.6660924765140278,[0.         0.59245283 1.        ],[0.         0.29699248 1.        ],20
0.1,0.1828911902397503,0.5819976593904238,[0.        0.6490566 1.       ],[0.         0.46616541 1.        ],21
