type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.22083365764029259,0.20176880480601325,689.3332984253672,0.24225345435408108
"OPTICS(min_samples=6, distance_metric=euclidean)",0.1,-0.00708994710392057,0.0057021224248097685,5.891002479084869,-0.4992783290375182
"KMeans(clusters=4, init=random)",0.5,0.5313141263340541,0.48800314662277994,909.5288795327749,0.2897378389975923
"OPTICS(min_samples=6, distance_metric=euclidean)",0.5,0.006408006392299381,0.028608179311326302,8.058754201225954,-0.44118087871457423
"KMeans(clusters=4, init=random)",1.0,0.7586355915099479,0.6917497948254129,1047.0753309233282,0.3153079632710788
"OPTICS(min_samples=6, distance_metric=euclidean)",1.0,0.039342456461451084,0.07179989394149613,9.483318705621814,-0.47238639364296536
"KMeans(clusters=4, init=random)",2.0,0.8916304588316629,0.8385298827643745,1133.8088494524968,0.33549115191941387
"OPTICS(min_samples=6, distance_metric=euclidean)",2.0,0.09377685866713367,0.1683124166639722,12.818589249132497,-0.437887185277393
"KMeans(clusters=4, init=random)",3.0,0.9077521685342473,0.8632586155706796,1175.810340188404,0.3408117018194551
"OPTICS(min_samples=6, distance_metric=euclidean)",3.0,0.13647848645144103,0.22640558564036622,12.855109979530127,-0.39650348665971
"KMeans(clusters=4, init=random)",5.0,0.948753489209541,0.9173512881898895,1182.7912526201687,0.3436618466765232
"OPTICS(min_samples=6, distance_metric=euclidean)",5.0,0.19456279425588963,0.32700755194109565,13.721531103309985,-0.3717666394731792
"KMeans(clusters=4, init=random)",7.0,0.9692325685995643,0.945199557627763,1201.198650092593,0.34792351156644186
"OPTICS(min_samples=6, distance_metric=euclidean)",7.0,0.31968286787943523,0.4538785751089362,16.43530009299976,-0.28451179001125576
"KMeans(clusters=4, init=random)",9.0,0.9693073195125663,0.945254473585752,1201.1513028118782,0.3477330859424105
"OPTICS(min_samples=6, distance_metric=euclidean)",9.0,0.3672402909759008,0.5139700177596581,16.390908445421566,-0.21803737148596175
