epsilon,distance,algorithm,dataset
0.1,29.680906887797423,3d-laplace,seeds-dataset
0.5,5.832604445906222,3d-laplace,seeds-dataset
0.7,4.345052876498625,3d-laplace,seeds-dataset
1.0,2.884353842870973,3d-laplace,seeds-dataset
1.5,1.9142776622491282,3d-laplace,seeds-dataset
2.0,1.536422624177756,3d-laplace,seeds-dataset
2.5,1.219774653910172,3d-laplace,seeds-dataset
3.0,1.0180714156067656,3d-laplace,seeds-dataset
3.5,0.8391849090592832,3d-laplace,seeds-dataset
5.0,0.588955804363658,3d-laplace,seeds-dataset
7.0,0.42464647884094187,3d-laplace,seeds-dataset
9.0,0.3126136225516031,3d-laplace,seeds-dataset
