type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.00022453279395914439,0.00046564372933398986,784.5673126776858,0.2650539412961675
"OPTICS(min_samples=6, distance_metric=euclidean)",0.1,0.01854341249468209,0.011817693941121582,12.03723592763791,-0.3930182205719136
"KMeans(clusters=4, init=random)",0.5,0.003751334983782755,0.0033274720333042566,780.3697760785868,0.26254743200053643
"OPTICS(min_samples=6, distance_metric=euclidean)",0.5,-0.028125417195510816,-0.010906396463062015,12.52475350166512,-0.3462311004192916
"KMeans(clusters=4, init=random)",1.0,0.018932901765668707,0.019549887767000798,817.5350490434186,0.26476705811208623
"OPTICS(min_samples=6, distance_metric=euclidean)",1.0,-0.01555521979979039,-0.008093947663325437,10.723825526514526,-0.46990043317640245
"KMeans(clusters=4, init=random)",2.0,0.12768870019924833,0.10551795147086498,912.6754189710679,0.2870421411304386
"OPTICS(min_samples=6, distance_metric=euclidean)",2.0,0.00544682567205411,0.005707100570196468,10.537571604280972,-0.46275955020289744
"KMeans(clusters=4, init=random)",3.0,0.24378295805390202,0.2016020393450467,989.5821004549277,0.3040158426707406
"OPTICS(min_samples=6, distance_metric=euclidean)",3.0,0.025758261876061922,0.02231788145562668,7.860041857814653,-0.4790612216585314
"KMeans(clusters=4, init=random)",5.0,0.5234948446254782,0.4458143429624518,1098.6835048603384,0.3318724234191112
"OPTICS(min_samples=6, distance_metric=euclidean)",5.0,0.04093843012989325,0.09982313135412024,12.772610402297541,-0.4458882752037029
"KMeans(clusters=4, init=random)",7.0,0.8167596584403712,0.7501225223841453,1120.8605180156223,0.338400844292598
"OPTICS(min_samples=6, distance_metric=euclidean)",7.0,0.17297126730215967,0.3358204492564781,15.159821219715866,-0.3020498536621402
"KMeans(clusters=4, init=random)",9.0,0.9225170862616263,0.877967867788098,1146.285364410512,0.34279976615961677
"OPTICS(min_samples=6, distance_metric=euclidean)",9.0,0.46568852638006175,0.6075406205368108,17.208610900191168,-0.16475424136355526
