type,dimensions,ari,ami,ch,sc
nd-piecewise,4,-0.00038963089286776694,-0.00059219294733964,517.5415624627155,0.20343643773524062
nd-piecewise,5,8.419625571570324e-05,-0.0004429543804639675,361.562332429665,0.15463650334065798
nd-piecewise,6,-0.00015966703111975106,-0.0004756637286426468,278.48397507166953,0.12428008427712352
nd-piecewise,7,0.00012529802941466597,1.5963588423167426e-05,226.22447709978374,0.10392333458485906
nd-piecewise,8,0.00019749431364390947,0.00013821978556752642,190.19198385221844,0.08903292929757141
nd-piecewise,9,0.0036320297626426315,0.003484778939555238,164.94799376854607,0.07728236091214233
nd-laplace,4,0.27030029096704355,0.2602339646962273,564.9172357796575,0.22684269552663397
nd-laplace,5,0.34313216249687184,0.39727746556508176,555.1281374612382,0.2105801042876029
nd-laplace,6,0.4001092266919235,0.43841257613681844,493.1362238173509,0.1915535439073003
nd-laplace,7,0.6014154408703781,0.628319647741232,566.0691642917019,0.21793251320577794
nd-laplace,8,0.46351826307040744,0.5080515227322433,521.5776926255795,0.20546890652849487
nd-laplace,9,0.5544152531325731,0.5838461968550546,527.103708852342,0.1980564900195891
nd-laplace-truncated,4,0.28961637591524664,0.2881468854657313,622.7188596433542,0.22099156709157036
nd-laplace-truncated,5,0.38816429110657635,0.4231419840486188,522.3744261788495,0.21336983829251888
nd-laplace-truncated,6,0.4088067415689699,0.44071675115233866,481.6923263951441,0.194561325397699
nd-laplace-truncated,7,0.5441438581248094,0.5712632093946919,583.3954351647217,0.2309493553917064
nd-laplace-truncated,8,0.6016633002989952,0.6045028146793487,528.0451885198956,0.20280656743855513
nd-laplace-truncated,9,0.6468729133682948,0.6455526637866954,516.0205389313307,0.1862912076242312
nd-laplace-optimal-truncated,4,0.2508979703514212,0.2554139697271799,736.6358428450551,0.2956776912278142
nd-laplace-optimal-truncated,5,0.3575935667206372,0.35404548875192,578.4649410089877,0.26302181586670137
nd-laplace-optimal-truncated,6,0.4055508501446533,0.39776330284377726,491.30745604495496,0.22701933826768003
nd-laplace-optimal-truncated,7,0.49856172299873835,0.5092317709565098,542.3827136654934,0.2373049371583448
nd-laplace-optimal-truncated,8,0.519724418892235,0.5194227302076634,483.71812765842833,0.21205182610393436
nd-laplace-optimal-truncated,9,0.5179459178048943,0.5343491288096811,483.50725279945675,0.18733861587401512
