type,dimensions,ari,ami,ch,sc
nd-piecewise,4,0.7239888709081066,0.6187803473337286,804.395610738759,0.291239547781207
nd-piecewise,5,0.5486401493310279,0.511803581505282,604.8327246895318,0.2799890691997351
nd-piecewise,6,0.6720961686042989,0.6072508386995661,522.3637277837375,0.2515741425566137
nd-piecewise,7,0.5961202627862352,0.5594041277335824,531.6073089772267,0.24311415941600428
nd-piecewise,8,0.6427542145347356,0.6157797058807227,482.682881996016,0.19990071614018498
nd-piecewise,9,0.5630262728174179,0.5598089544448401,477.0304906079242,0.18904043086823585
nd-laplace,4,0.8969135049801065,0.8575981024890634,782.9555023202669,0.28721775319271003
nd-laplace,5,0.6192217813870223,0.646658802939515,559.4536181237943,0.2634970454679151
nd-laplace,6,0.6564569273257115,0.6959921076245328,570.3416219696369,0.2610064103476441
nd-laplace,7,0.6081520226619841,0.6657739153262395,592.2646207683358,0.24280967688161065
nd-laplace,8,0.6094086013285884,0.6363647188746864,545.2953358901161,0.22839718790038313
nd-laplace,9,0.7579996131385216,0.7701069922331819,540.7500374723547,0.2024294813566579
nd-laplace-truncated,4,0.8135203821879227,0.7767054633282666,778.4089980940245,0.2863060456126358
nd-laplace-truncated,5,0.6861837889184363,0.6902361619199289,629.7270293858594,0.2764918260331718
nd-laplace-truncated,6,0.5696919867641194,0.6324091113780229,498.73088631977515,0.2222028760056857
nd-laplace-truncated,7,0.7429585556544487,0.7582863902262817,607.0247036634445,0.24721986528999648
nd-laplace-truncated,8,0.5899355866450959,0.6315235086517859,551.473292301991,0.22532341868642428
nd-laplace-truncated,9,0.6701446650143643,0.6847671583161701,542.5077573746905,0.22179834950003627
nd-laplace-optimal-truncated,4,0.48708854397321905,0.49860663307579134,737.8653196757303,0.28840263261842647
nd-laplace-optimal-truncated,5,0.545735737872711,0.5369126360502582,630.8132068974792,0.27729740433057914
nd-laplace-optimal-truncated,6,0.6433365378734632,0.6403040998379534,536.5920157312476,0.23566404797028856
nd-laplace-optimal-truncated,7,0.5560692997744793,0.5839643144043174,597.5401691012789,0.2418408100683568
nd-laplace-optimal-truncated,8,0.552770752548841,0.5795360132052546,526.7497705808166,0.2087825849426582
nd-laplace-optimal-truncated,9,0.6564832049699082,0.6427948191767656,519.9839063617662,0.2058155538010499
