epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.1,0.46153846153846145,0.8333333333333333,[0.         0.57692308 1.        ],[0.         0.11538462 1.        ],0,2,nd-laplace-optimal-truncated
0.1,0.3461538461538462,0.6956521739130436,[0.         0.61538462 1.        ],[0.         0.26923077 1.        ],1,2,nd-laplace-optimal-truncated
0.1,0.34615384615384615,0.7999999999999999,[0.         0.46153846 1.        ],[0.         0.11538462 1.        ],2,2,nd-laplace-optimal-truncated
0.1,0.4230769230769231,0.6774193548387097,[0.         0.80769231 1.        ],[0.         0.38461538 1.        ],3,2,nd-laplace-optimal-truncated
0.1,0.07692307692307687,0.5277777777777778,[0.         0.73076923 1.        ],[0.         0.65384615 1.        ],4,2,nd-laplace-optimal-truncated
0.1,0.6538461538461537,0.793103448275862,[0.         0.88461538 1.        ],[0.         0.23076923 1.        ],5,2,nd-laplace-optimal-truncated
0.1,0.23076923076923078,0.65,[0.  0.5 1. ],[0.         0.26923077 1.        ],6,2,nd-laplace-optimal-truncated
0.1,0.5384615384615384,0.7916666666666666,[0.         0.73076923 1.        ],[0.         0.19230769 1.        ],7,2,nd-laplace-optimal-truncated
0.1,0.2692307692307692,0.6666666666666666,[0.         0.53846154 1.        ],[0.         0.26923077 1.        ],8,2,nd-laplace-optimal-truncated
0.1,0.15384615384615385,0.625,[0.         0.38461538 1.        ],[0.         0.23076923 1.        ],9,2,nd-laplace-optimal-truncated
0.1,0.15384615384615385,0.5625,[0.         0.69230769 1.        ],[0.         0.53846154 1.        ],10,2,nd-laplace-optimal-truncated
0.1,0.3461538461538462,0.6451612903225807,[0.         0.76923077 1.        ],[0.         0.42307692 1.        ],11,2,nd-laplace-optimal-truncated
0.1,0.30769230769230765,0.6428571428571429,[0.         0.69230769 1.        ],[0.         0.38461538 1.        ],12,2,nd-laplace-optimal-truncated
0.1,0.19230769230769235,0.5925925925925926,[0.         0.61538462 1.        ],[0.         0.42307692 1.        ],13,2,nd-laplace-optimal-truncated
0.1,0.6538461538461539,0.84,[0.         0.80769231 1.        ],[0.         0.15384615 1.        ],14,2,nd-laplace-optimal-truncated
0.1,0.3076923076923077,0.6111111111111112,[0.         0.84615385 1.        ],[0.         0.53846154 1.        ],15,2,nd-laplace-optimal-truncated
0.1,0.15384615384615385,0.5714285714285714,[0.         0.61538462 1.        ],[0.         0.46153846 1.        ],16,2,nd-laplace-optimal-truncated
0.1,0.46153846153846156,0.7142857142857142,[0.         0.76923077 1.        ],[0.         0.30769231 1.        ],17,2,nd-laplace-optimal-truncated
0.1,0.3076923076923077,0.6538461538461539,[0.         0.65384615 1.        ],[0.         0.34615385 1.        ],18,2,nd-laplace-optimal-truncated
0.1,0.11538461538461542,0.5517241379310345,[0.         0.61538462 1.        ],[0.  0.5 1. ],19,2,nd-laplace-optimal-truncated
0.1,0.2692307692307692,0.6296296296296295,[0.         0.65384615 1.        ],[0.         0.38461538 1.        ],20,2,nd-laplace-optimal-truncated
0.1,0.423076923076923,0.8235294117647058,[0.         0.53846154 1.        ],[0.         0.11538462 1.        ],21,2,nd-laplace-optimal-truncated
0.1,0.3461538461538462,0.6451612903225807,[0.         0.76923077 1.        ],[0.         0.42307692 1.        ],22,2,nd-laplace-optimal-truncated
0.1,0.2692307692307693,0.64,[0.         0.61538462 1.        ],[0.         0.34615385 1.        ],23,2,nd-laplace-optimal-truncated
0.1,0.23076923076923073,0.625,[0.         0.57692308 1.        ],[0.         0.34615385 1.        ],24,2,nd-laplace-optimal-truncated
0.1,0.5769230769230769,0.894736842105263,[0.         0.65384615 1.        ],[0.         0.07692308 1.        ],25,2,nd-laplace-optimal-truncated
0.1,0.34615384615384615,0.6799999999999999,[0.         0.65384615 1.        ],[0.         0.30769231 1.        ],26,2,nd-laplace-optimal-truncated
0.1,0.07692307692307698,0.5333333333333334,[0.         0.61538462 1.        ],[0.         0.53846154 1.        ],27,2,nd-laplace-optimal-truncated
0.1,0.038461538461538436,0.5135135135135136,[0.         0.73076923 1.        ],[0.         0.69230769 1.        ],28,2,nd-laplace-optimal-truncated
0.1,-0.11538461538461542,0.46341463414634143,[0.         0.73076923 1.        ],[0.         0.84615385 1.        ],29,2,nd-laplace-optimal-truncated
0.1,0.5384615384615384,0.85,[0.         0.65384615 1.        ],[0.         0.11538462 1.        ],30,2,nd-laplace-optimal-truncated
0.1,0.38461538461538464,0.7083333333333333,[0.         0.65384615 1.        ],[0.         0.26923077 1.        ],31,2,nd-laplace-optimal-truncated
0.1,0.42307692307692313,0.761904761904762,[0.         0.61538462 1.        ],[0.         0.19230769 1.        ],32,2,nd-laplace-optimal-truncated
0.1,0.5,0.8095238095238095,[0.         0.65384615 1.        ],[0.         0.15384615 1.        ],33,2,nd-laplace-optimal-truncated
0.1,0.0,0.5,[0.         0.53846154 1.        ],[0.         0.53846154 1.        ],34,2,nd-laplace-optimal-truncated
0.1,0.2692307692307692,0.6842105263157894,[0.  0.5 1. ],[0.         0.23076923 1.        ],35,2,nd-laplace-optimal-truncated
0.1,0.1538461538461538,0.5833333333333333,[0.         0.53846154 1.        ],[0.         0.38461538 1.        ],36,2,nd-laplace-optimal-truncated
