type,dimensions,ari,ami,ch,sc,mechanism
KMeans(clusters=4),2,0.4301253301123813,0.42110647528041556,264.3609562652159,0.4762102836381404,nd-piecewise
KMeans(clusters=4),3,0.458383778214975,0.4488701267712371,291.3954184230634,0.48955660781736504,nd-piecewise
KMeans(clusters=4),4,0.42124543028956696,0.4066749561038292,269.0086151806767,0.4788463219637052,nd-piecewise
KMeans(clusters=4),5,0.4330893560678568,0.4285574167464767,271.4637263477502,0.4787956865591723,nd-piecewise
KMeans(clusters=4),6,0.437980869597395,0.42211174937854185,281.6223307655097,0.47694565000851696,nd-piecewise
KMeans(clusters=4),7,0.436223079370043,0.4214872992488381,274.0397341542664,0.47862581790347136,nd-piecewise
KMeans(clusters=4),2,0.6904046828548208,0.7204824645402594,727.6631309879568,0.4896559112512497,nd-laplace
KMeans(clusters=4),3,0.7240446997844675,0.7346209575725979,739.3065987774106,0.49767543128795594,nd-laplace
KMeans(clusters=4),4,0.7221243143222809,0.7370910426087016,716.4488860393296,0.4910845676625403,nd-laplace
KMeans(clusters=4),5,0.7418720465085734,0.7351850470992753,730.118645491815,0.4956498660511107,nd-laplace
KMeans(clusters=4),6,0.7058626451907244,0.7273747449115185,729.6163306145089,0.5004540576206983,nd-laplace
KMeans(clusters=4),7,0.7285858467856912,0.7348323423146375,718.8996738054735,0.49729548954507763,nd-laplace
KMeans(clusters=4),2,0.721609834959476,0.7218179593376034,750.2110833879226,0.501015001041457,nd-laplace-truncated
KMeans(clusters=4),3,0.7047671405599928,0.7163134259580343,732.6048274743134,0.489525582785823,nd-laplace-truncated
KMeans(clusters=4),4,0.7072947327688612,0.7163900689735633,723.8720449839354,0.4932026443824421,nd-laplace-truncated
KMeans(clusters=4),5,0.696945106297984,0.7282977798036694,746.0084038535973,0.4972244189047782,nd-laplace-truncated
KMeans(clusters=4),6,0.6850333909502457,0.7049249033673728,722.5398338029717,0.4940806224286482,nd-laplace-truncated
KMeans(clusters=4),7,0.7081531346019386,0.7194165525586758,725.1169710886863,0.49073653565822306,nd-laplace-truncated
KMeans(clusters=4),2,0.6649403336273987,0.6877383525816032,688.8989167506882,0.4818797145779681,nd-laplace-optimal-truncated
KMeans(clusters=4),3,0.6534145436894616,0.6882702085039012,684.2630044315343,0.48246377955709396,nd-laplace-optimal-truncated
KMeans(clusters=4),4,0.6393606365641735,0.6683047217953713,666.3129465881764,0.47925419944084513,nd-laplace-optimal-truncated
KMeans(clusters=4),5,0.6893882200339587,0.6967190783840422,684.2684520861894,0.4858564336175231,nd-laplace-optimal-truncated
KMeans(clusters=4),6,0.6636079790285618,0.684363857973688,673.463072857196,0.47963187577419725,nd-laplace-optimal-truncated
KMeans(clusters=4),7,0.693869518282498,0.7066253837447668,681.9750922065055,0.4826462010923199,nd-laplace-optimal-truncated
