epsilon,distance,algorithm,dataset
0.1,34.095544634957406,nd-laplace-optimal-truncated,heart-dataset
0.5,21.70097036266923,nd-laplace-optimal-truncated,heart-dataset
0.7,17.9769599331358,nd-laplace-optimal-truncated,heart-dataset
1.0,14.824591398470181,nd-laplace-optimal-truncated,heart-dataset
1.5,12.676833930767346,nd-laplace-optimal-truncated,heart-dataset
2.0,11.830998962279812,nd-laplace-optimal-truncated,heart-dataset
2.5,11.37608229099647,nd-laplace-optimal-truncated,heart-dataset
3.0,11.022474906605867,nd-laplace-optimal-truncated,heart-dataset
3.5,10.631474882173254,nd-laplace-optimal-truncated,heart-dataset
5.0,10.494604918484509,nd-laplace-optimal-truncated,heart-dataset
7.0,10.016582002091493,nd-laplace-optimal-truncated,heart-dataset
9.0,9.967591458421492,nd-laplace-optimal-truncated,heart-dataset
