type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.1917645160264056,0.2157560224870497,45.4575285607067,0.19530900882400576
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.08139035143677519,0.19028780503577272,30.950795461642144,0.2385859997601206
"OPTICS(min_samples=12, distance_metric=euclidean)",0.1,-0.07403332485602518,0.0376869391335556,15.45004838023184,-0.019479503632228674
"KMeans(clusters=4, init=random)",0.5,0.42141375495576155,0.44621123014106895,61.08102096144337,0.22621502038115504
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.14126712330078384,0.2882434679051767,39.48730524075155,0.22240827563955742
"OPTICS(min_samples=12, distance_metric=euclidean)",0.5,0.0024879776443586616,0.04989146882075328,13.121028805584391,0.014740929448087923
"KMeans(clusters=4, init=random)",0.7,0.34800847553490566,0.44863522920148674,59.68030013453587,0.21701447448405992
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.7,0.11441193084648556,0.2631376679603544,35.466279087761166,0.19607592072814373
"OPTICS(min_samples=12, distance_metric=euclidean)",0.7,0.13335023201026414,0.09105951988181991,22.045925955491217,0.10626727302226817
"KMeans(clusters=4, init=random)",1.0,0.42935295995801354,0.4838753929898315,76.97440891490058,0.2323763073923717
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.16342977140967002,0.314635023845825,38.220592987413326,0.18490105761488979
"OPTICS(min_samples=12, distance_metric=euclidean)",1.0,0.0,0.0,0.0,0.0
"KMeans(clusters=4, init=random)",1.5,0.43655051052832106,0.525308927090412,87.32364611585916,0.22363014391367617
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.5,0.15699612345635194,0.3074144426787827,44.55470093530294,0.1808196356061871
"OPTICS(min_samples=12, distance_metric=euclidean)",1.5,0.2937878167536644,0.25342228666355304,75.79213816672629,0.271124044008877
"KMeans(clusters=4, init=random)",2.0,0.5038815403945781,0.5909606568212757,105.23039570194271,0.2594343746766291
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.23322835151313254,0.43211007362337217,49.424665852118885,0.1577749732442955
"OPTICS(min_samples=12, distance_metric=euclidean)",2.0,0.38774101802363653,0.3355813726333635,59.122052716952304,0.23187468521317908
"KMeans(clusters=4, init=random)",2.5,0.5077353485101697,0.5351006466416347,107.98872096839759,0.2584841750234394
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.5,0.19460912068761274,0.3613896433760162,53.57697680929063,0.16988155701114804
"OPTICS(min_samples=12, distance_metric=euclidean)",2.5,0.20703363045297835,0.1664046005853999,27.300111877478162,0.17713776042177184
"KMeans(clusters=4, init=random)",3.0,0.46445640481327094,0.5598636370515477,124.08446395197197,0.27506359615059767
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.23602693238828962,0.40571836850496795,72.46362936539022,0.19985238244233244
"OPTICS(min_samples=12, distance_metric=euclidean)",3.0,0.05379765532540324,0.06038885471873345,15.397487981080923,0.05842231179437428
"KMeans(clusters=4, init=random)",3.5,0.5418181905035133,0.5623403114027565,122.21798324402005,0.27128514609201104
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.5,0.25352408773958424,0.44296936227195227,61.870367255908,0.19099190838583516
"OPTICS(min_samples=12, distance_metric=euclidean)",3.5,0.0,0.0,0.0,0.0
"KMeans(clusters=4, init=random)",5.0,0.5237014517464369,0.6003777412123162,134.22310898475823,0.2958283681488073
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.2566629656078759,0.4383702850257004,76.77038417352477,0.203063376299556
"OPTICS(min_samples=12, distance_metric=euclidean)",5.0,0.0,0.0,0.0,0.0
"KMeans(clusters=4, init=random)",7.0,0.5451913482937606,0.5684567575785687,136.62549324393217,0.30332135566253415
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.3001980097089811,0.48328775706889304,75.27904643744921,0.2069341868894164
"OPTICS(min_samples=12, distance_metric=euclidean)",7.0,0.29981459518705744,0.24687688325335197,15.461053548111177,-0.1424040299169451
"KMeans(clusters=4, init=random)",9.0,0.66250064700433,0.6749786998631977,157.78913220476446,0.30827566239353565
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.29279140031691775,0.49186951429529646,88.0404120170235,0.23639078711117806
"OPTICS(min_samples=12, distance_metric=euclidean)",9.0,0.16810337166521516,0.31991581849568107,66.39814103277465,0.20883086160384062
