type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.16309518618513286,0.18947891246243626,44.9148999482673,0.19993128412838218
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.11162060926470793,0.23475259092008555,30.850510767463128,0.2467302991010881
"OPTICS(min_samples=12, distance_metric=euclidean)",0.1,0.004118884978713541,0.06262709256606847,17.074077936624587,0.044131365682659275
"KMeans(clusters=4, init=random)",0.5,0.29317531361620797,0.3571623498582792,60.1805550467368,0.2219547135480544
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.12907831272253079,0.27004051968468923,38.055280198663,0.2230067994143908
"OPTICS(min_samples=12, distance_metric=euclidean)",0.5,0.03452845864924457,0.006019457212012275,8.44826104698029,-0.017803743016259164
"KMeans(clusters=4, init=random)",0.7,0.31857923950043215,0.4042957294803437,66.92490459218209,0.22843242609283054
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.7,0.13674141154825897,0.27881243286184637,40.109803155591266,0.23790411408501894
"OPTICS(min_samples=12, distance_metric=euclidean)",0.7,0.2898388696960445,0.21053367369957415,24.78866778237492,0.10918134469840601
"KMeans(clusters=4, init=random)",1.0,0.4290896187213148,0.47801728112227354,73.37113049113506,0.231349646764831
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.14107114515866476,0.2943819641124049,42.069448289937746,0.20470378946599296
"OPTICS(min_samples=12, distance_metric=euclidean)",1.0,0.0,0.0,0.0,0.0
"KMeans(clusters=4, init=random)",1.5,0.42288872924398824,0.484280629530507,90.63924712976313,0.24513723224390183
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.5,0.17428454007076488,0.3444357902783594,46.678802526182764,0.16936213333258437
"OPTICS(min_samples=12, distance_metric=euclidean)",1.5,0.15980385773937383,0.11751697355115072,19.30153212262062,0.12243075430766819
"KMeans(clusters=4, init=random)",2.0,0.5277808120165333,0.5316371985190489,112.40231395625456,0.27829035520164347
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.23399985107692683,0.43221771035324075,51.038506170246606,0.17711871995587142
"OPTICS(min_samples=12, distance_metric=euclidean)",2.0,0.0,0.0,0.0,0.0
"KMeans(clusters=4, init=random)",2.5,0.572930248739687,0.6099014202189765,113.7079420692827,0.25635240625223543
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.5,0.19638315531090927,0.3745249502988516,59.70018931477309,0.18651341246395686
"OPTICS(min_samples=12, distance_metric=euclidean)",2.5,0.12358470391701823,0.08232247523983004,28.206885869491373,0.19727924146164327
"KMeans(clusters=4, init=random)",3.0,0.549880257555652,0.5830394956097062,122.27427239237097,0.2760923896722358
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.22786229825970286,0.4202466593823976,62.858951145445516,0.17471403618240983
"OPTICS(min_samples=12, distance_metric=euclidean)",3.0,-0.0243774527748524,0.016775305308029863,3.252023221466559,-0.12804669151213016
"KMeans(clusters=4, init=random)",3.5,0.5993877061073,0.6120494508584665,124.60159342360484,0.26900530756731644
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.5,0.28173805540396957,0.4677701222091063,67.95133014283462,0.19795403506138015
"OPTICS(min_samples=12, distance_metric=euclidean)",3.5,0.34430646062004866,0.28248205773747503,18.57497355294613,-0.14018830541836236
"KMeans(clusters=4, init=random)",5.0,0.47758636096324103,0.5565625235070604,136.62046153916245,0.29666734235334996
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.2704441579691347,0.4583907782532317,80.00317536391832,0.22822272711442187
"OPTICS(min_samples=12, distance_metric=euclidean)",5.0,0.015040510556288859,0.0634815911689238,23.18512726607046,0.06028160732704709
"KMeans(clusters=4, init=random)",7.0,0.487533315048071,0.5815706534833356,141.2015419285927,0.2742931663596074
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.3210679257802448,0.5036035633907346,82.63069968633012,0.21919320638499248
"OPTICS(min_samples=12, distance_metric=euclidean)",7.0,0.2889526134600987,0.24634119037939284,25.765557175202566,-0.06270949649159752
"KMeans(clusters=4, init=random)",9.0,0.5248894423524192,0.5868657049326182,141.47599540613783,0.2880245297458298
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.2900217143185225,0.49073096110626874,77.66409740683581,0.19559787237320814
"OPTICS(min_samples=12, distance_metric=euclidean)",9.0,0.3306869573140845,0.27887577477473624,37.82326819740045,0.19025386947836756
