epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.22813164987941548,0.600241862088741,[0.         0.68301887 1.        ],[0.         0.45488722 1.        ],0
0.1,0.35592282593275637,0.6788519938978315,[0.        0.6754717 1.       ],[0.         0.31954887 1.        ],1
0.1,0.3823946659100581,0.6818212478920742,[0.         0.71698113 1.        ],[0.         0.33458647 1.        ],2
0.1,0.34450276634983684,0.6850237717908082,[0.         0.63773585 1.        ],[0.         0.29323308 1.        ],3
0.1,0.3256632146403745,0.6756227431299345,[0.         0.62641509 1.        ],[0.         0.30075188 1.        ],4
0.1,0.506582493970776,0.7544862384013455,[0.        0.7509434 1.       ],[0.        0.2443609 1.       ],5
0.1,0.23152220173074195,0.6233746598125188,[0.         0.58490566 1.        ],[0.         0.35338346 1.        ],6
0.1,0.4456660519222585,0.8435210497539639,[0.         0.54716981 1.        ],[0.         0.10150376 1.        ],7
0.1,0.16405163853028798,0.5738027162258756,[0.         0.63773585 1.        ],[0.         0.47368421 1.        ],8
0.1,0.438416796708753,0.7742439301434048,[0.         0.61886792 1.        ],[0.         0.18045113 1.        ],9
0.1,0.37457795431976165,0.7078924162257495,[0.         0.63773585 1.        ],[0.         0.26315789 1.        ],10
0.1,0.19014044545325576,0.5985616166370068,[0.         0.57735849 1.        ],[0.         0.38721805 1.        ],11
0.1,0.26152645765356786,0.6502077731605964,[0.         0.56603774 1.        ],[0.         0.30451128 1.        ],12
0.1,0.4048375656121435,0.7089489946842005,[0.         0.68679245 1.        ],[0.         0.28195489 1.        ],13
0.1,0.4645339764505604,0.8479438954415046,[0.         0.56603774 1.        ],[0.         0.10150376 1.        ],14
0.1,0.1975741239892183,0.6083357966302099,[0.         0.55471698 1.        ],[0.         0.35714286 1.        ],15
0.1,0.20536246276067527,0.5980280621918848,[0.         0.62641509 1.        ],[0.         0.42105263 1.        ],16
0.1,0.352149241027096,0.6776294133642465,[0.         0.67169811 1.        ],[0.         0.31954887 1.        ],17
0.1,0.33321038445169526,0.6782418649830014,[0.         0.63396226 1.        ],[0.         0.30075188 1.        ],18
0.1,0.3409277911760533,0.6650730849543905,[0.         0.68679245 1.        ],[0.         0.34586466 1.        ],19
0.1,0.2239608455100014,0.6212947738832459,[0.         0.57358491 1.        ],[0.         0.34962406 1.        ],20
0.1,0.19388565754007658,0.6016935279848803,[0.         0.57358491 1.        ],[0.         0.37969925 1.        ],21
0.1,0.40453965101432826,0.7495449453934472,[0.         0.60754717 1.        ],[0.         0.20300752 1.        ],22
0.1,0.34448857994041704,0.6865254328422411,[0.         0.63396226 1.        ],[0.         0.28947368 1.        ],23
0.1,0.3140871045538374,0.7012727272727273,[0.         0.54716981 1.        ],[0.         0.23308271 1.        ],24
0.1,0.3784366576819407,0.699205448354143,[0.         0.66415094 1.        ],[0.         0.28571429 1.        ],25
0.1,0.5777557100297914,0.8664651045603426,[0.         0.68301887 1.        ],[0.         0.10526316 1.        ],26
0.1,0.3067811037026528,0.6702889991337901,[0.         0.60377358 1.        ],[0.         0.29699248 1.        ],27
0.1,0.23146545609306285,0.6274368907773057,[0.         0.56981132 1.        ],[0.         0.33834586 1.        ],28
0.1,0.352149241027096,0.6776294133642465,[0.         0.67169811 1.        ],[0.         0.31954887 1.        ],29
0.1,0.272974890055327,0.6437214304920678,[0.         0.61132075 1.        ],[0.         0.33834586 1.        ],30
0.1,0.31024258760107815,0.7099598686610726,[0.        0.5245283 1.       ],[0.         0.21428571 1.        ],31
0.1,0.3746488863668605,0.6995873577291071,[0.         0.65660377 1.        ],[0.         0.28195489 1.        ],32
0.1,0.33315363881401616,0.6841477949940405,[0.         0.61886792 1.        ],[0.         0.28571429 1.        ],33
0.1,0.3856575400766066,0.7459068294889191,[0.         0.58490566 1.        ],[0.         0.19924812 1.        ],34
0.1,0.22756419350262447,0.6360075291244849,[0.         0.53207547 1.        ],[0.         0.30451128 1.        ],35
0.1,0.32567740104979426,0.6742149437673592,[0.         0.63018868 1.        ],[0.         0.30451128 1.        ],36
0.1,0.2389416938572847,0.6360654678235018,[0.         0.55849057 1.        ],[0.         0.31954887 1.        ],37
0.1,0.37044970917860687,0.7613233793006825,[0.         0.53962264 1.        ],[0.         0.16917293 1.        ],38
0.1,0.47986948503333804,0.7959612221327828,[0.         0.64528302 1.        ],[0.         0.16541353 1.        ],39
0.1,0.299304865938431,0.6607638148069127,[0.         0.61509434 1.        ],[0.         0.31578947 1.        ],40
0.1,0.4496098737409562,0.8026278097129653,[0.         0.59622642 1.        ],[0.         0.14661654 1.        ],41
0.1,0.25026244857426583,0.6406980268300075,[0.         0.56981132 1.        ],[0.         0.31954887 1.        ],42
0.1,0.6377784082848631,0.9829204889681398,[0.        0.6490566 1.       ],[0.        0.0112782 1.       ],43
0.1,0.24667328699106256,0.6254038772213247,[0.         0.61509434 1.        ],[0.         0.36842105 1.        ],44
0.1,0.32194637537239323,0.6688189960424912,[0.         0.63773585 1.        ],[0.         0.31578947 1.        ],45
0.1,0.27684777982692577,0.6375749030666197,[0.         0.64150943 1.        ],[0.         0.36466165 1.        ],46
0.1,0.4763086962689743,0.7588865756804688,[0.         0.69811321 1.        ],[0.         0.22180451 1.        ],47
0.1,0.31420059582919563,0.6869092627599244,[0.         0.57735849 1.        ],[0.         0.26315789 1.        ],48
0.1,0.1828202581926514,0.5848308911621048,[0.         0.63018868 1.        ],[0.         0.44736842 1.        ],49
0.5,0.17910341892467013,0.5811218916661312,[0.         0.64150943 1.        ],[0.         0.46240602 1.        ],0
0.5,0.22428713292665625,0.6022771380514944,[0.         0.66037736 1.        ],[0.         0.43609023 1.        ],1
0.5,0.3371683926798127,0.662660662222648,[0.         0.68679245 1.        ],[0.         0.34962406 1.        ],2
0.5,0.30302170520641225,0.6675031367628608,[0.         0.60377358 1.        ],[0.         0.30075188 1.        ],3
0.5,0.17168392679812738,0.5737369306134387,[0.         0.66792453 1.        ],[0.        0.4962406 1.       ],4
0.5,0.1374946800964676,0.5680885741583769,[0.         0.57358491 1.        ],[0.         0.43609023 1.        ],5
0.5,0.14160873882820257,0.5592882088807584,[0.         0.66792453 1.        ],[0.         0.52631579 1.        ],6
0.5,0.23180592991913745,0.6064356435643564,[0.         0.66037736 1.        ],[0.         0.42857143 1.        ],7
0.5,0.3368421052631579,0.6951219512195121,[0.  0.6 1. ],[0.         0.26315789 1.        ],8
0.5,0.17931621506596673,0.5736768477500582,[0.         0.69811321 1.        ],[0.         0.51879699 1.        ],9
0.5,0.3184848914739679,0.6427572173470686,[0.         0.71698113 1.        ],[0.         0.39849624 1.        ],10
0.5,0.2165555397928784,0.6092620428029489,[0.         0.60377358 1.        ],[0.         0.38721805 1.        ],11
0.5,0.28814016172506735,0.6437214304920678,[0.         0.64528302 1.        ],[0.         0.35714286 1.        ],12
0.5,0.31469712015888773,0.6425038222861768,[0.         0.70943396 1.        ],[0.         0.39473684 1.        ],13
0.5,0.23533834586466162,0.6219797349961028,[0.  0.6 1. ],[0.         0.36466165 1.        ],14
0.5,0.2243722513831749,0.5982653213380387,[0.         0.68301887 1.        ],[0.         0.45864662 1.        ],15
0.5,0.3032628741665484,0.6468462774946075,[0.         0.66792453 1.        ],[0.         0.36466165 1.        ],16
0.5,0.3747623776422187,0.6876020850199553,[0.         0.68679245 1.        ],[0.         0.31203008 1.        ],17
0.5,0.28425308554404877,0.6514581160143318,[0.         0.61132075 1.        ],[0.         0.32706767 1.        ],18
0.5,0.3106256206554121,0.6648397976391232,[0.         0.62641509 1.        ],[0.         0.31578947 1.        ],19
0.5,0.2995744077174067,0.6394653070389792,[0.         0.68679245 1.        ],[0.         0.38721805 1.        ],20
0.5,0.2656688892041424,0.6241234407518856,[0.         0.66792453 1.        ],[0.         0.40225564 1.        ],21
0.5,0.32956447723081284,0.6649905541114473,[0.         0.66415094 1.        ],[0.         0.33458647 1.        ],22
0.5,0.28808341608738824,0.6481462567664181,[0.         0.63018868 1.        ],[0.         0.34210526 1.        ],23
0.5,0.38988509008369976,0.6894516978478762,[0.         0.70943396 1.        ],[0.         0.31954887 1.        ],24
0.5,0.16029224003404735,0.5718683611291329,[0.         0.63773585 1.        ],[0.         0.47744361 1.        ],25
