epsilon,distance,algorithm,dataset
0.1,6527.575593792908,nd-piecewise,heart-dataset
0.5,1264.1927726033173,nd-piecewise,heart-dataset
0.7,888.4410122712934,nd-piecewise,heart-dataset
1.0,620.0170149049861,nd-piecewise,heart-dataset
1.5,383.88428342729827,nd-piecewise,heart-dataset
2.0,267.8569277094621,nd-piecewise,heart-dataset
2.5,198.50365007134917,nd-piecewise,heart-dataset
3.0,149.80285723325227,nd-piecewise,heart-dataset
3.5,118.40668662618937,nd-piecewise,heart-dataset
5.0,54.04849438927994,nd-piecewise,heart-dataset
7.0,20.696564283867247,nd-piecewise,heart-dataset
9.0,8.379180948537156,nd-piecewise,heart-dataset
